exit_time,direction,entry_price,exit_price,notional,exit_reason,pnl_usdt,capital,drawdown
2026-02-13 22:10:00+00:00,long,68774.3,68707.0,3525.6216,TIMEOUT,-6.9757,9993.0243,0.000698
2026-02-19 02:05:00+00:00,short,66518.1,66804.2,10526.0015,TIMEOUT,-55.7992,9937.2251,0.006277
2026-02-20 00:00:00+00:00,long,66743.5,66929.9,7539.4474,TIMEOUT,13.5166,9950.7417,0.004926
2026-02-22 23:30:00+00:00,short,67492.5,67535.2,21840.6645,TIMEOUT,-35.6584,9915.0832,0.008492
2026-02-23 07:10:00+00:00,short,65056.9,65751.6,2433.3959,TIMEOUT,-28.418,9886.6652,0.011333
2026-02-24 00:05:00+00:00,short,64900.0,64724.0,8008.5443,TIMEOUT,13.7095,9900.3748,0.009963
2026-02-24 12:35:00+00:00,short,63289.1,63061.636033,43725.4576,TP2,113.4259,10013.8006,0.0
2026-02-25 23:40:00+00:00,long,68630.1,67808.0,8359.666,SL,-108.4977,9905.3029,0.010835
2026-02-28 13:00:00+00:00,short,64116.1,63900.1,4009.6559,TIMEOUT,9.4984,9914.8014,0.009886
2026-03-01 01:45:00+00:00,long,66426.8,67348.566776,7574.5662,TP2,97.5334,10012.3347,0.000146
2026-03-01 08:05:00+00:00,long,67080.5,67098.2,5294.6978,TIMEOUT,-3.8976,10008.4371,0.000536
2026-03-03 01:30:00+00:00,long,68812.4,68958.2,23537.4087,TIMEOUT,26.3338,10034.7709,0.0
2026-03-04 14:10:00+00:00,long,70646.5,71797.547953,2680.435,TP2,40.9921,10075.7629,0.0
2026-03-04 22:55:00+00:00,long,72971.8,72678.9,4895.4428,TIMEOUT,-24.5452,10051.2178,0.002436
2026-03-05 23:15:00+00:00,short,71430.5,71174.9,16000.9697,TIMEOUT,41.2554,10092.4731,0.0
2026-03-09 19:25:00+00:00,long,68589.8,69302.885673,5864.9556,TP2,55.1094,10147.5825,0.0
2026-03-13 22:00:00+00:00,short,71420.1,70924.469213,5146.9452,TP2,30.5711,10178.1536,0.0
2026-03-14 05:05:00+00:00,short,70965.6,71064.1,14846.8402,TIMEOUT,-35.4542,10142.6994,0.003483
2026-03-16 09:35:00+00:00,long,73442.5,73151.3,6713.8819,TIMEOUT,-33.3345,10109.3649,0.006758
2026-03-18 18:55:00+00:00,short,71656.2,71030.350414,4981.0814,TP2,38.524,10147.8889,0.002973
2026-03-22 05:25:00+00:00,short,69400.1,69138.1,7301.8611,TIMEOUT,20.2642,10168.1531,0.000983
2026-03-23 17:55:00+00:00,long,70112.2,71052.7,3628.7874,TIMEOUT,45.0485,10213.2016,0.0
2026-03-25 04:25:00+00:00,long,70424.1,70884.82298,12405.2351,TP2,68.7513,10281.9529,0.0
2026-03-25 08:30:00+00:00,long,70819.9,71289.547867,16366.9786,TP2,92.172,10374.1249,0.0
2026-03-26 15:05:00+00:00,short,69614.6,69197.363953,13971.5719,TP2,69.7672,10443.8921,0.0
2026-04-01 02:25:00+00:00,long,67888.3,67601.9,24756.2179,SL,-129.1951,10314.697,0.01237
2026-04-02 09:40:00+00:00,short,66824.2,66400.1,12752.4768,TIMEOUT,68.1812,10382.8781,0.005842
2026-04-06 08:25:00+00:00,long,68813.9,69199.8,96945.229,TIMEOUT,446.7118,10829.59,0.0
2026-04-06 14:45:00+00:00,long,69370.0,69312.1,13179.801,TIMEOUT,-24.1804,10805.4096,0.002233
2026-04-08 11:40:00+00:00,long,71560.8,71481.5,24879.1427,TIMEOUT,-52.4489,10752.9607,0.007076
2026-04-12 19:50:00+00:00,short,71078.8,71090.2,19145.9805,TIMEOUT,-22.2167,10730.744,0.009127
2026-04-14 06:50:00+00:00,long,74188.1,74467.771382,33005.5351,TP2,91.4174,10822.1614,0.000686
2026-04-17 19:20:00+00:00,long,77159.2,77303.1,4534.0138,TIMEOUT,3.9218,10826.0832,0.000324
2026-04-20 14:20:00+00:00,long,74970.8,75404.36673,19912.6624,TP2,95.2451,10921.3283,0.0
2026-04-25 22:20:00+00:00,short,77381.6,77494.2,25470.4598,TIMEOUT,-62.5332,10858.7951,0.005726
2026-04-27 05:15:00+00:00,long,78882.6,77988.1,9575.9641,SL,-118.1639,10740.6312,0.016545
2026-04-27 11:10:00+00:00,short,77810.0,77738.3,5710.8686,TIMEOUT,-0.4484,10740.1827,0.016586
2026-04-27 22:00:00+00:00,short,76903.0,76760.2,6214.8403,TIMEOUT,5.3254,10745.5081,0.016099
2026-04-28 19:30:00+00:00,short,76166.1,76116.4,34446.273,TIMEOUT,-11.9693,10733.5388,0.017195
2026-05-01 08:10:00+00:00,long,76933.2,77174.232715,14249.6201,TP2,30.3946,10763.9334,0.014412
2026-05-04 08:15:00+00:00,long,79770.0,79736.9,5595.1972,TIMEOUT,-7.9169,10756.0165,0.015137
2026-05-04 21:35:00+00:00,long,79877.7,80217.9,6017.8319,TIMEOUT,19.6122,10775.6287,0.013341
2026-05-07 20:35:00+00:00,short,80195.8,79892.3,8974.5577,TIMEOUT,24.9895,10800.6182,0.011053
2026-05-11 23:05:00+00:00,long,81688.4,81665.4,10192.759,TIMEOUT,-13.0626,10787.5556,0.012249
2026-05-13 20:20:00+00:00,short,79732.8,79615.2,11390.8359,TIMEOUT,5.4098,10792.9654,0.011753
