exit_time,direction,entry_price,exit_price,notional,exit_reason,pnl_usdt,capital,drawdown
2026-02-14 13:15:00+00:00,long,0.9951,0.9831,16585.0,SL,-216.585,9783.415,0.021658
2026-02-14 16:35:00+00:00,long,0.9918,0.99647,8364.8198,TP1,35.2043,9818.6193,0.018138
2026-02-14 16:40:00+00:00,long,0.9918,1.000251,8364.8198,TP2,62.9067,9881.526,0.011847
2026-02-14 21:00:00+00:00,long,1.0287,1.03701,5032.2405,TP1,38.1351,9919.6611,0.008034
2026-02-14 21:20:00+00:00,long,1.0287,1.0287,5032.2405,SL,-5.0322,9914.6289,0.008537
2026-02-15 01:05:00+00:00,long,1.0276,1.03423,10838.5879,TP1,64.5105,9979.1393,0.002086
2026-02-15 01:15:00+00:00,long,1.0276,1.0316,10838.5879,TIMEOUT,31.3513,10010.4907,0.0
2026-02-15 07:05:00+00:00,long,1.0265,1.03181,25026.2266,TP1,116.9455,10127.4362,0.0
2026-02-15 07:10:00+00:00,long,1.0265,1.035727,25026.2266,TP2,199.9192,10327.3553,0.0
2026-02-15 08:30:00+00:00,long,1.0333,1.0256,27717.5487,SL,-234.2647,10093.0907,0.022684
2026-02-15 16:05:00+00:00,short,0.9917,0.98456,7525.803,TP1,50.4211,10143.5117,0.017802
2026-02-15 16:05:00+00:00,short,0.9917,0.977837,7525.803,TP2,97.6767,10241.1885,0.008344
2026-02-15 22:35:00+00:00,short,0.9759,0.9771,51205.9423,SL,-114.1705,10127.0179,0.019399
2026-02-16 05:20:00+00:00,short,0.9644,0.96304,6643.8749,TP1,6.0473,10133.0652,0.018813
2026-02-16 05:20:00+00:00,short,0.9644,0.961866,6643.8749,TP2,10.8117,10143.8769,0.017766
2026-02-16 07:35:00+00:00,short,0.9656,0.96165,7592.9671,TP1,27.2642,10171.1411,0.015126
2026-02-16 08:05:00+00:00,short,0.9656,0.9656,7592.9671,SL,-7.593,10163.5482,0.015861
2026-02-16 19:35:00+00:00,short,0.9669,0.9708,50395.5628,SL,-253.6665,9909.8817,0.040424
2026-02-17 00:00:00+00:00,long,0.9899,0.99296,7320.7402,TP1,18.9697,9928.8513,0.038587
2026-02-17 00:05:00+00:00,long,0.9899,0.9899,7320.7402,SL,-7.3207,9921.5306,0.039296
2026-02-17 01:50:00+00:00,long,0.9898,0.988,49607.6529,SL,-139.8216,9781.709,0.052835
2026-02-17 05:00:00+00:00,long,0.9875,0.9835,22998.661,TIMEOUT,-116.1578,9665.5512,0.064083
2026-02-17 13:05:00+00:00,short,0.9675,0.9706,24937.122,TIMEOUT,-104.839,9560.7122,0.074234
2026-02-17 20:20:00+00:00,short,0.9718,0.9633,9831.8519,TIMEOUT,76.164,9636.8761,0.066859
2026-02-17 21:30:00+00:00,short,0.9685,0.96494,7650.2578,TP1,24.2956,9661.1717,0.064507
2026-02-17 21:55:00+00:00,short,0.9685,0.9685,7650.2578,SL,-7.6503,9653.5215,0.065247
2026-02-17 22:15:00+00:00,short,0.9706,0.9716,48267.6073,SL,-97.9973,9555.5242,0.074737
2026-02-18 03:10:00+00:00,short,0.9666,0.9699,47777.621,SL,-210.8918,9344.6324,0.095157
2026-02-18 04:05:00+00:00,long,0.9695,0.97141,7549.6843,TP1,11.0987,9355.7311,0.094083
2026-02-18 04:10:00+00:00,long,0.9695,0.972967,7549.6843,TP2,19.4452,9375.1763,0.0922
2026-02-18 17:40:00+00:00,short,0.9573,0.951,4931.2397,TP1,29.9869,9405.1632,0.089296
2026-02-18 18:15:00+00:00,short,0.9573,0.946159,4931.2397,TP2,52.4557,9457.6189,0.084217
2026-02-18 20:50:00+00:00,short,0.9336,0.93138,4647.1753,TP1,8.7269,9466.3458,0.083372
2026-02-18 20:50:00+00:00,short,0.9336,0.92922,4647.1753,TP2,17.1532,9483.499,0.081711
2026-02-19 00:10:00+00:00,short,0.9293,0.92682,19158.7296,TP1,41.5491,9525.048,0.077688
2026-02-19 00:15:00+00:00,short,0.9293,0.9293,19158.7296,SL,-19.1587,9505.8893,0.079543
2026-02-19 03:35:00+00:00,short,0.9381,0.93366,23764.7233,TP1,100.5954,9606.4847,0.069802
2026-02-19 04:00:00+00:00,short,0.9381,0.9381,23764.7233,SL,-23.7647,9582.72,0.072103
2026-02-19 11:20:00+00:00,short,0.9195,0.9179,10127.9437,TIMEOUT,7.4954,9590.2154,0.071377
2026-02-19 15:10:00+00:00,short,0.9087,0.90443,10252.5044,TP1,43.0505,9633.2659,0.067209
2026-02-19 15:15:00+00:00,short,0.9087,0.9087,10252.5044,SL,-10.2525,9623.0134,0.068202
2026-02-19 17:15:00+00:00,short,0.913,0.9143,48115.0669,SL,-116.625,9506.3884,0.079494
2026-02-19 20:20:00+00:00,short,0.9145,0.913,36223.3007,TIMEOUT,23.1916,9529.58,0.077249
2026-02-20 11:45:00+00:00,long,0.9493,0.9406,20796.3915,SL,-211.388,9318.192,0.097717
2026-02-20 18:30:00+00:00,long,0.9513,0.96456,4765.8043,TP1,64.0468,9382.2388,0.091516
2026-02-20 19:05:00+00:00,long,0.9513,0.9584,4765.8043,TIMEOUT,30.8036,9413.0424,0.088533
2026-02-20 21:25:00+00:00,long,0.9537,0.9552,13918.1683,TIMEOUT,7.9726,9421.0151,0.087761
2026-02-20 22:20:00+00:00,long,0.9528,0.95465,16320.6239,TP1,23.5286,9444.5436,0.085483
2026-02-20 22:25:00+00:00,long,0.9528,0.95621,16320.6239,TP2,42.092,9486.6356,0.081407
2026-02-21 00:30:00+00:00,long,0.9494,0.9487,47433.1782,SL,-82.406,9404.2296,0.089386
2026-02-21 06:45:00+00:00,long,0.9509,0.9481,47021.148,SL,-185.4786,9218.751,0.107346
2026-02-21 12:25:00+00:00,long,0.9557,0.955,46093.7549,SL,-79.855,9138.896,0.115079
2026-02-21 16:00:00+00:00,long,0.9578,0.9526,33666.2868,SL,-216.4442,8922.4518,0.136037
2026-02-21 21:50:00+00:00,long,0.955,0.9531,16707.7283,TIMEOUT,-49.9482,8872.5035,0.140874
2026-02-22 07:45:00+00:00,short,0.9367,0.935,22181.2588,TP1,29.1657,8901.6693,0.138049
2026-02-22 08:00:00+00:00,short,0.9367,0.933472,22181.2588,TP2,54.2472,8955.9165,0.132797
2026-02-22 11:05:00+00:00,short,0.934,0.9376,44779.5825,SL,-217.3775,8738.539,0.153845
2026-02-22 17:30:00+00:00,short,0.9231,0.9204,29332.8921,TIMEOUT,56.4637,8795.0026,0.148378
2026-02-23 04:30:00+00:00,short,0.8739,0.86962,1670.8593,TP1,7.3477,8802.3504,0.147667
2026-02-23 05:00:00+00:00,short,0.8739,0.8725,1670.8593,TIMEOUT,1.0059,8803.3563,0.147569
2026-02-23 05:15:00+00:00,short,0.8746,0.8781,43996.6594,SL,-220.0638,8583.2925,0.168878
2026-02-23 05:20:00+00:00,short,0.8778,0.8781,42916.4624,SL,-57.5837,8525.7087,0.174454
2026-02-23 07:40:00+00:00,short,0.8952,0.8955,42628.5437,SL,-56.9142,8468.7945,0.179965
2026-02-23 09:30:00+00:00,short,0.8913,0.8979,22873.444,SL,-192.2493,8276.5452,0.19858
2026-02-23 13:40:00+00:00,long,0.904,0.90935,16626.6596,TP1,90.0856,8366.6307,0.189857
2026-02-23 13:55:00+00:00,long,0.904,0.904,16626.6596,SL,-16.6267,8350.0041,0.191467
2026-02-23 14:15:00+00:00,long,0.9034,0.8995,38684.0702,SL,-205.6842,8144.3199,0.211384
2026-02-23 19:20:00+00:00,short,0.8821,0.87262,7808.8094,TP1,80.0175,8224.3374,0.203636
2026-02-23 20:05:00+00:00,short,0.8821,0.8683,7808.8094,TIMEOUT,114.356,8338.6934,0.192563
2026-02-23 22:10:00+00:00,short,0.8733,0.8867,10868.9268,SL,-177.6428,8161.0506,0.209764
2026-02-24 00:45:00+00:00,short,0.8841,0.8881,36075.9243,SL,-199.2969,7961.7537,0.229062
2026-02-24 12:00:00+00:00,short,0.858,0.85634,19904.3842,TP1,28.5575,7990.3112,0.226296
2026-02-24 12:05:00+00:00,short,0.858,0.858,19904.3842,SL,-19.9044,7970.4068,0.228224
2026-02-24 12:15:00+00:00,short,0.8591,0.8597,39852.0338,SL,-67.6849,7902.7219,0.234778
2026-02-24 14:40:00+00:00,short,0.8546,0.8603,23697.074,SL,-181.7515,7720.9704,0.252377
2026-02-24 14:45:00+00:00,short,0.8581,0.8603,38604.8518,SL,-137.5801,7583.3902,0.265699
2026-02-25 01:00:00+00:00,short,0.8631,0.8668,35379.5898,SL,-187.0474,7396.3428,0.283811
2026-02-25 05:15:00+00:00,long,0.8843,0.8774,5762.6308,TIMEOUT,-50.7272,7345.6157,0.288722
2026-02-25 05:20:00+00:00,long,0.8774,0.8736,33921.2799,SL,-180.8336,7164.7821,0.306233
2026-02-25 22:40:00+00:00,long,0.9984,0.9925,24248.537,SL,-167.5442,6997.2379,0.322456
2026-02-26 05:10:00+00:00,long,0.9595,0.9583,34986.1894,SL,-78.7417,6918.4962,0.330081
2026-02-26 08:55:00+00:00,short,0.9561,0.9521,14073.9876,TP1,51.8438,6970.34,0.325061
2026-02-26 09:05:00+00:00,short,0.9561,0.9561,14073.9876,SL,-14.074,6956.266,0.326423
2026-02-26 14:05:00+00:00,short,0.9446,0.94147,3221.024,TP1,9.0626,6965.3286,0.325546
2026-02-26 14:10:00+00:00,short,0.9446,0.9446,3221.024,SL,-3.221,6962.1076,0.325858
2026-02-26 20:30:00+00:00,short,0.9186,0.9301,5035.7417,TIMEOUT,-68.0784,6894.0291,0.33245
2026-02-26 23:20:00+00:00,short,0.9337,0.936,34470.1456,SL,-119.3811,6774.648,0.344009
2026-02-27 08:00:00+00:00,long,0.9473,0.95264,8227.7232,TP1,42.2664,6816.9145,0.339917
2026-02-27 08:05:00+00:00,long,0.9473,0.956333,8227.7232,TP2,70.2319,6887.1464,0.333116
2026-02-27 10:05:00+00:00,long,0.9526,0.9415,11821.0733,SL,-149.564,6737.5824,0.347598
2026-02-27 13:20:00+00:00,short,0.9185,0.91239,3018.7656,TP1,18.5719,6756.1543,0.3458
2026-02-27 13:30:00+00:00,short,0.9185,0.907496,3018.7656,TP2,33.1471,6789.3014,0.342591
2026-02-27 16:05:00+00:00,short,0.9129,0.90818,16973.2534,TP1,79.2708,6868.5722,0.334915
2026-02-27 16:25:00+00:00,short,0.9129,0.9129,16973.2534,SL,-16.9733,6851.5989,0.336558
2026-02-28 03:20:00+00:00,short,0.8991,0.89666,10441.14,TP1,23.1149,6874.7138,0.33432
2026-02-28 03:30:00+00:00,short,0.8991,0.894311,10441.14,TP2,45.1701,6919.8839,0.329946
2026-02-28 08:00:00+00:00,short,0.8609,0.84633,1903.2997,TP1,31.2601,6951.144,0.326919
2026-02-28 08:55:00+00:00,short,0.8609,0.836843,1903.2997,TP2,51.2822,7002.4262,0.321954
2026-03-01 05:20:00+00:00,long,0.9333,0.932,2977.387,TIMEOUT,-7.1246,6995.3016,0.322643
2026-03-01 06:05:00+00:00,long,0.9277,0.9241,34976.5081,SL,-170.7051,6824.5965,0.339173
2026-03-01 08:50:00+00:00,long,0.9171,0.9147,34122.9825,SL,-123.4209,6701.1756,0.351124
2026-03-01 19:00:00+00:00,short,0.8974,0.88934,2758.5481,TP1,23.3966,6724.5722,0.348858
2026-03-01 19:10:00+00:00,short,0.8974,0.88343,2758.5481,TP2,40.1857,6764.7579,0.344967
2026-03-01 22:10:00+00:00,short,0.8757,0.8966,5668.8024,SL,-140.964,6623.7939,0.358617
2026-03-02 00:15:00+00:00,short,0.8917,0.88801,7383.0463,TP1,26.8607,6650.6546,0.356016
2026-03-02 00:30:00+00:00,short,0.8917,0.8917,7383.0463,SL,-7.383,6643.2716,0.356731
2026-03-02 03:15:00+00:00,long,0.8978,0.90484,4733.5946,TP1,34.7512,6678.0228,0.353366
2026-03-02 03:25:00+00:00,long,0.8978,0.909674,4733.5946,TP2,57.8693,6735.8921,0.347762
2026-03-02 06:15:00+00:00,long,0.9042,0.8937,11601.1307,SL,-146.319,6589.5731,0.36193
2026-03-02 08:55:00+00:00,short,0.8928,0.8946,32947.8656,SL,-99.375,6490.1981,0.371553
2026-03-02 19:20:00+00:00,long,0.9325,0.93866,11207.6106,TP1,68.4325,6558.6306,0.364926
2026-03-02 19:25:00+00:00,long,0.9325,0.9325,11207.6106,SL,-11.2076,6547.423,0.366012
2026-03-03 08:15:00+00:00,short,0.9167,0.91184,5716.2121,TP1,27.4471,6574.8701,0.363354
