exit_time,direction,entry_price,exit_price,notional,exit_reason,peak_loss_ratio,pnl_usdt,capital,drawdown
2021-05-14 19:00:00+00:00,long,50861.0,50236.780818,3282.2997,SL,0.004755,-43.5661,9956.4339,0.004357
2021-05-15 09:00:00+00:00,short,48510.0,49270.528141,3300.594,SL,0.005399,-55.0465,9901.3874,0.009861
2021-05-16 03:00:00+00:00,short,47313.51,48379.817279,2846.5137,SL,0.006967,-66.9986,9834.3888,0.016561
2021-05-16 19:00:00+00:00,short,47327.43,44746.54141,3064.5594,TP,0.001146,164.0539,9998.4427,0.000156
2021-05-19 01:00:00+00:00,short,44923.0,41107.982104,2164.6622,TP,0.004584,181.666,10180.1087,0.0
2021-05-19 16:00:00+00:00,short,35650.0,40019.336237,1340.2452,SL,0.0166,-165.6034,10014.5053,0.016267
2021-06-07 20:00:00+00:00,short,36443.26,33942.43526,3035.7478,TP,0.003134,205.2846,10219.7899,0.0
2021-06-08 20:00:00+00:00,short,32945.48,33720.065854,2948.3568,SL,0.008062,-72.2676,10147.5223,0.007071
2021-06-13 09:00:00+00:00,short,35348.74,35819.504883,4441.4726,SL,0.007027,-63.5918,10083.9305,0.013294
2021-06-22 12:00:00+00:00,short,32741.45,29456.528903,2355.7517,TP,0.005805,233.9948,10317.9253,0.0
2021-06-24 15:00:00+00:00,short,33666.49,34325.618792,2842.938,SL,0.007542,-58.5025,10259.4228,0.00567
2021-06-25 22:00:00+00:00,short,33096.46,31271.14134,4320.1179,TP,0.004603,233.9408,10493.3636,0.0
2021-06-26 17:00:00+00:00,short,30799.99,31617.476738,2557.086,SL,0.007516,-70.4267,10422.9368,0.006712
2021-06-30 07:00:00+00:00,short,34770.75,35211.855561,4059.3372,SL,0.005615,-55.5565,10367.3803,0.012006
2021-07-05 17:00:00+00:00,short,34337.84,33249.845546,5876.1963,TP,0.003304,180.3111,10547.6914,0.0
2021-07-09 14:00:00+00:00,short,33086.16,33535.320312,5689.5765,SL,0.010008,-82.9283,10464.7631,0.007862
2021-07-11 14:00:00+00:00,short,33629.74,33920.190196,6256.7397,SL,0.006316,-60.2944,10404.4687,0.013579
2021-07-12 23:00:00+00:00,short,32828.59,33209.302721,6116.0051,SL,0.008262,-77.0432,10327.4255,0.020883
2021-07-14 03:00:00+00:00,short,32781.41,31766.324783,5566.691,TP,0.002894,166.8074,10494.2329,0.005068
2021-07-14 13:00:00+00:00,short,32312.96,32767.684606,3939.9111,SL,0.006681,-59.3844,10434.8485,0.010698
2021-07-15 19:00:00+00:00,short,31434.4,31767.048108,6302.0717,SL,0.006573,-72.9925,10361.8561,0.017619
2021-07-16 12:00:00+00:00,short,31391.87,31661.441948,5369.6508,SL,0.006562,-51.4805,10310.3755,0.022499
2021-07-18 17:00:00+00:00,short,31447.33,31723.390502,6792.7777,SL,0.006341,-66.4232,10243.9523,0.028797
2021-07-19 14:00:00+00:00,short,31262.16,30497.880244,7172.5876,TP,0.002303,168.1788,10412.1312,0.012852
2021-07-20 14:00:00+00:00,short,29515.25,29811.942462,5357.5434,SL,0.005836,-59.2125,10352.9186,0.018466
2021-07-23 20:00:00+00:00,short,32109.01,32332.336826,8504.8978,SL,0.009904,-67.6588,10285.2599,0.02488
2021-08-04 12:00:00+00:00,short,38333.0,38879.836677,4656.3198,SL,0.006637,-71.0807,10214.1792,0.031619
2021-08-08 01:00:00+00:00,long,44587.48,43896.330813,5067.2142,SL,0.007936,-83.6139,10130.5652,0.039547
2021-08-08 10:00:00+00:00,long,44796.46,44201.850116,4661.4519,SL,0.006127,-66.5357,10064.0296,0.045855
2021-08-11 22:00:00+00:00,long,46064.12,45623.227294,6247.8945,SL,0.007332,-66.0483,9997.9813,0.052117
2021-08-19 23:00:00+00:00,long,45735.71,46994.180622,4636.7889,TP,0.000498,122.9498,10120.9311,0.04046
2021-08-20 16:00:00+00:00,long,47211.83,48782.054388,4794.431,TP,0.004804,154.6642,10275.5953,0.025797
2021-08-22 15:00:00+00:00,long,48686.0,48169.953419,5319.7995,SL,0.006489,-61.7069,10213.8883,0.031647
2021-08-24 13:00:00+00:00,long,49273.28,48796.699221,6335.9237,SL,0.010742,-67.6182,10146.2701,0.038058
2021-09-14 15:00:00+00:00,long,44725.01,46876.148143,2270.7332,TP,0.000462,106.9447,10253.2148,0.027919
2021-09-16 04:00:00+00:00,long,47087.18,48451.480916,7029.9298,TP,0.006002,196.6548,10449.8696,0.009274
2021-09-21 00:00:00+00:00,short,44040.82,41940.861702,3747.0769,TP,0.000625,174.9214,10624.791,0.0
2021-09-23 03:00:00+00:00,short,42737.99,44086.993193,2765.5131,SL,0.008764,-90.0575,10534.7334,0.008476
2021-09-26 07:00:00+00:00,short,42196.89,40905.806242,8030.9677,TP,0.001648,237.6898,10772.4232,0.0
2021-09-28 07:00:00+00:00,short,43266.54,41736.813182,5389.5034,TP,0.001527,185.1612,10957.5844,0.0
2021-09-28 13:00:00+00:00,short,41825.13,42351.669715,5347.363,SL,0.008654,-72.6657,10884.9187,0.006632
2021-09-30 08:00:00+00:00,long,43566.97,42964.469986,5189.7113,SL,0.008645,-76.9597,10807.959,0.013655
2021-10-01 10:00:00+00:00,long,43515.5,45218.509933,4577.3988,TP,0.004321,174.5623,10982.5213,0.0
2021-10-04 03:00:00+00:00,long,47975.0,47429.34376,5737.7071,SL,0.007518,-70.997,10911.5243,0.006465
2021-10-05 20:00:00+00:00,long,49985.42,51530.76649,5132.7401,TP,0.00387,153.5508,11065.0751,0.0
2021-10-08 13:00:00+00:00,long,54896.43,54211.90718,4868.5608,SL,0.007185,-65.5764,10999.4987,0.005926
2021-10-09 20:00:00+00:00,long,54943.45,54504.181476,5119.9711,SL,0.005092,-46.0537,10953.445,0.010089
2021-10-10 20:00:00+00:00,long,55016.87,56783.268413,6709.8591,TP,0.004185,208.7201,11162.1651,0.0
2021-10-11 20:00:00+00:00,long,57500.0,56919.206137,6572.1914,SL,0.007066,-72.9563,11089.2088,0.006536
2021-10-14 06:00:00+00:00,long,58041.6,57528.939755,4491.7067,SL,0.003696,-44.1653,11045.0435,0.010493
2021-10-18 09:00:00+00:00,long,61571.45,60768.071703,4971.2871,SL,0.006955,-69.8362,10975.2073,0.016749
2021-10-19 08:00:00+00:00,long,62474.88,61833.045808,5536.1431,SL,0.005449,-62.4116,10912.7957,0.022341
2021-10-25 17:00:00+00:00,long,63388.6,62918.071867,6865.5969,SL,0.005673,-57.8283,10854.9674,0.027521
2021-10-31 05:00:00+00:00,long,61791.15,61310.65743,8750.4062,SL,0.007712,-76.7942,10778.1732,0.034401
2021-11-01 17:00:00+00:00,long,61964.57,61006.435179,4881.0423,SL,0.008857,-80.3548,10697.8184,0.0416
2021-11-02 09:00:00+00:00,long,61818.61,63248.071004,4410.4679,TP,0.002673,97.5749,10795.3933,0.032858
2021-11-08 00:00:00+00:00,long,62477.87,63672.296315,11471.0635,TP,0.005066,207.828,11003.2213,0.01424
2021-11-08 14:00:00+00:00,long,65996.72,65342.693911,5792.2693,SL,0.006072,-63.1935,10940.0278,0.019901
2021-11-09 11:00:00+00:00,long,68150.04,67531.6941,5713.4217,SL,0.005734,-57.553,10882.4748,0.025057
2021-11-10 20:00:00+00:00,long,66740.07,65828.974629,4653.2602,SL,0.011772,-68.1768,10814.298,0.031165
2021-11-14 16:00:00+00:00,long,64179.37,63668.09785,6971.0196,SL,0.005417,-62.5043,10751.7937,0.036764
2021-11-21 22:00:00+00:00,long,59443.0,58959.011247,7925.9643,SL,0.006399,-72.4597,10679.3341,0.043256
2021-11-25 12:00:00+00:00,long,57042.43,58560.889313,6329.0761,TP,0.000316,162.1498,10841.4839,0.028729
2021-11-26 03:00:00+00:00,long,58597.41,58086.493639,6215.6757,SL,0.006683,-60.4107,10781.0731,0.034141
2021-11-30 01:00:00+00:00,long,57827.98,57317.393192,5391.3117,SL,0.006544,-52.9934,10728.0797,0.038889
2021-11-30 15:00:00+00:00,long,58435.02,57752.469491,4690.8879,SL,0.008792,-59.4828,10668.5969,0.044218
2021-12-05 17:00:00+00:00,short,48476.82,49235.063184,4430.6255,SL,0.007347,-73.7316,10594.8653,0.050823
2021-12-10 12:00:00+00:00,short,48501.05,49154.439318,6110.8658,SL,0.008523,-88.4343,10506.4309,0.058746
