exit_time,direction,entry_price,exit_price,notional,exit_reason,peak_loss_ratio,pnl_usdt,capital,drawdown
2021-05-14 20:00:00+00:00,long,4114.14,4033.069965,2256.6801,SL,0.007624,-46.7251,9953.2749,0.004673
2021-05-16 06:00:00+00:00,short,3793.62,3880.672357,2845.7353,SL,0.006718,-68.1469,9885.128,0.011487
2021-05-16 19:00:00+00:00,short,3636.5,3418.76541,2122.9058,TP,0.002329,124.9856,10010.1136,0.0
2021-05-16 21:00:00+00:00,short,3364.99,3501.28133,1982.1686,SL,0.00873,-82.2654,9927.8481,0.008218
2021-05-17 07:00:00+00:00,short,3346.2,3490.839453,1639.7705,SL,0.009015,-72.5188,9855.3293,0.015463
2021-05-18 01:00:00+00:00,short,3263.88,3396.17355,1298.5196,SL,0.006302,-53.9309,9801.3984,0.02085
2021-05-18 20:00:00+00:00,short,3346.93,3450.742779,1459.6118,SL,0.004679,-46.7329,9754.6656,0.025519
2021-05-22 16:00:00+00:00,short,2856.12,2353.8,715.7106,TIME,0.003461,125.1599,9879.8254,0.013016
2021-05-23 16:00:00+00:00,short,2112.83,1775.632148,1365.6586,TP,0.002602,216.5871,10096.4125,0.0
2021-05-23 20:00:00+00:00,short,1912.89,2062.483445,1079.3934,SL,0.01036,-85.491,10010.9215,0.008467
2021-05-25 14:00:00+00:00,short,2534.54,2638.281674,1358.5999,SL,0.00612,-56.9677,9953.9538,0.01411
2021-05-26 22:00:00+00:00,short,2753.1,2839.457679,1632.9767,SL,0.005439,-52.8553,9901.0986,0.019345
2021-05-30 07:00:00+00:00,short,2371.87,2450.605495,1878.052,SL,0.007376,-64.221,9836.8776,0.025706
2021-06-02 07:00:00+00:00,short,2610.82,2680.436967,2110.6994,SL,0.008265,-58.3921,9778.4855,0.031489
2021-06-06 08:00:00+00:00,short,2641.75,2713.728554,2473.264,SL,0.008832,-69.8612,9708.6244,0.038409
2021-06-07 21:00:00+00:00,short,2729.3,2581.865487,3177.271,TP,0.001341,168.4563,9877.0806,0.021724
2021-06-08 03:00:00+00:00,short,2627.29,2428.549815,2770.5764,TP,0.00093,206.8084,10083.8891,0.00124
2021-06-08 18:00:00+00:00,short,2408.41,2484.226489,1983.4536,SL,0.006255,-64.4224,10019.4667,0.007621
2021-06-12 01:00:00+00:00,short,2415.0,2295.700062,3757.1086,TP,0.000536,181.8424,10201.3091,0.0
2021-06-12 10:00:00+00:00,short,2320.72,2353.37593,3330.6948,SL,0.010823,-50.1985,10151.1107,0.004921
2021-06-13 16:00:00+00:00,short,2355.17,2391.718177,2896.4194,SL,0.006442,-47.8439,10103.2668,0.009611
2021-06-15 18:00:00+00:00,short,2576.68,2606.089975,3800.8983,SL,0.005767,-47.184,10056.0828,0.014236
2021-06-18 14:00:00+00:00,short,2417.43,2260.443338,4513.2175,TP,0.007861,288.5728,10344.6556,0.0
2021-06-21 06:00:00+00:00,short,2128.5,1970.62317,2649.6067,TP,0.001986,193.8792,10538.5348,0.0
2021-06-22 18:00:00+00:00,short,1858.56,1948.895492,1539.7466,SL,0.007485,-76.3793,10462.1555,0.007248
2021-06-27 00:00:00+00:00,short,1800.4,1844.527911,2567.0723,SL,0.00676,-65.4862,10396.6693,0.013462
2021-07-13 07:00:00+00:00,short,2001.29,2027.698342,4959.9205,SL,0.007797,-70.4093,10326.26,0.020143
2021-07-13 15:00:00+00:00,short,1977.5,2007.801343,4185.4297,SL,0.006454,-68.319,10257.941,0.026626
2021-07-16 15:00:00+00:00,short,1897.23,1927.897731,4009.5745,SL,0.007545,-68.8222,10189.1188,0.033156
2021-07-17 13:00:00+00:00,short,1863.43,1889.538388,3783.6057,SL,0.006291,-56.7954,10132.3233,0.038545
2021-07-23 22:00:00+00:00,short,2039.48,2061.582195,4532.7783,SL,0.012996,-53.6553,10078.668,0.043637
2021-07-25 18:00:00+00:00,short,2136.85,2162.921845,4128.0581,SL,0.005124,-54.4948,10024.1733,0.048808
2021-08-03 10:00:00+00:00,short,2461.87,2503.929789,3584.4753,SL,0.009037,-64.8234,9959.3499,0.054959
2021-08-05 13:00:00+00:00,short,2620.98,2665.440571,2997.8376,SL,0.00761,-53.8512,9905.4987,0.060069
2021-08-11 22:00:00+00:00,long,3218.13,3171.760331,3898.3859,SL,0.008331,-60.0698,9845.4289,0.065769
2021-08-17 16:00:00+00:00,long,3194.0,3144.871793,3824.0397,SL,0.006306,-62.6431,9782.7858,0.071713
2021-08-19 19:00:00+00:00,long,3050.7,3158.359522,3992.4408,TP,0.000312,136.9012,9919.687,0.058722
2021-08-20 18:00:00+00:00,long,3266.11,3224.044308,4552.3795,SL,0.006479,-63.1845,9856.5025,0.064718
2021-08-27 14:00:00+00:00,long,3156.59,3242.282154,6367.1978,TP,0.004744,166.4835,10022.986,0.04892
2021-08-28 11:00:00+00:00,long,3248.05,3224.291395,5810.2581,SL,0.006803,-48.3107,9974.6753,0.053505
2021-08-29 02:00:00+00:00,long,3271.64,3243.996026,7585.653,SL,0.011688,-71.6812,9902.9941,0.060306
2021-09-01 05:00:00+00:00,long,3349.77,3523.149495,2854.4715,TP,0.00322,144.8891,10047.8831,0.046558
2021-09-06 12:00:00+00:00,long,3925.81,3886.172787,6370.4203,SL,0.009939,-70.6898,9977.1933,0.053266
2021-09-15 15:00:00+00:00,long,3370.91,3500.097936,5267.8939,TP,0.006381,196.6207,10173.814,0.034608
2021-09-16 10:00:00+00:00,long,3626.98,3585.756075,3728.4718,SL,0.005757,-46.1059,10127.7081,0.038983
2021-09-21 20:00:00+00:00,short,3086.11,2781.278032,2736.1366,TP,0.00325,267.527,10395.2351,0.013598
2021-09-22 07:00:00+00:00,short,2819.36,2949.420123,1914.8598,SL,0.009176,-90.2494,10304.9857,0.022161
2021-09-24 01:00:00+00:00,long,3144.37,3094.080256,3958.5688,SL,0.007088,-67.2703,10237.7155,0.028545
2021-09-27 14:00:00+00:00,short,3068.19,3108.660235,3545.6088,SL,0.006638,-50.3131,10187.4023,0.033319
2021-09-28 00:00:00+00:00,short,3058.11,2911.597103,3598.9786,TP,0.000334,168.8267,10356.2291,0.017299
2021-09-29 04:00:00+00:00,short,2860.95,2909.386573,3729.8652,SL,0.00907,-66.8774,10289.3517,0.023645
2021-10-03 21:00:00+00:00,long,3464.69,3420.243194,5128.9275,SL,0.012007,-70.9254,10218.4263,0.030375
2021-10-06 13:00:00+00:00,long,3362.81,3576.738364,3623.2894,TP,0.003112,226.8757,10445.302,0.008847
