exit_time,direction,entry_price,exit_price,notional,exit_reason,peak_loss_ratio,pnl_usdt,capital,drawdown
2023-05-24 04:00:00+00:00,short,1.2419,1.004176,3443.5937,TP,0.003605,655.7274,10655.7274,0.0
2023-05-28 16:00:00+00:00,short,0.9946,1.041626,3829.0598,SL,0.018534,-184.8712,10470.8562,0.017349
2023-06-05 15:00:00+00:00,short,0.9996,0.808101,3822.8497,TP,0.006209,728.5419,11199.3981,0.0
2023-06-06 18:00:00+00:00,short,0.7771,0.836726,1334.5533,SL,0.010933,-103.7341,11095.664,0.009262
2023-06-10 04:00:00+00:00,short,0.7321,0.572138,2736.8393,TP,0.010411,595.2574,11690.9214,0.0
2023-06-12 09:00:00+00:00,short,0.5719,0.65221,1143.3219,SL,0.015561,-161.6955,11529.2259,0.013831
2023-06-16 18:00:00+00:00,short,0.6306,0.670971,2413.2783,SL,0.018953,-156.9099,11372.3159,0.027252
2023-06-19 05:00:00+00:00,short,0.7215,0.75106,3032.7349,SL,0.011976,-127.2832,11245.0328,0.03814
2023-06-30 13:00:00+00:00,short,0.7669,0.624096,3252.0798,TP,0.006071,602.3153,11847.3481,0.0
2023-07-03 00:00:00+00:00,short,0.657,0.70016,2182.2818,SL,0.016345,-145.5427,11701.8053,0.012285
2023-07-12 06:00:00+00:00,short,0.6639,0.685969,5408.4104,SL,0.015873,-185.1955,11516.6098,0.027917
2023-08-04 20:00:00+00:00,short,0.6921,0.573916,4642.5475,TP,0.007397,788.1269,12304.7367,0.0
2023-08-06 02:00:00+00:00,short,0.5832,0.597524,7786.9756,SL,0.016711,-199.0481,12105.6886,0.016177
2023-08-08 05:00:00+00:00,short,0.5682,0.585244,5534.7008,SL,0.01384,-171.5563,11934.1323,0.030119
2023-08-15 19:00:00+00:00,short,0.595,0.546233,7201.4137,TP,0.008925,583.036,12517.1683,0.0
2023-08-17 21:00:00+00:00,short,0.5545,0.431446,3546.5389,TP,0.012161,783.5002,13300.6685,0.0
2023-08-19 16:00:00+00:00,short,0.4698,0.509488,2062.5973,SL,0.024294,-176.3071,13124.3614,0.013256
2023-08-22 08:00:00+00:00,short,0.5113,0.537315,3935.2828,SL,0.022519,-204.16,12920.2014,0.028605
2023-08-25 13:00:00+00:00,short,0.5363,0.557478,4415.378,SL,0.013828,-178.7784,12741.423,0.042046
2023-09-10 04:00:00+00:00,short,0.5602,0.464163,4002.949,TP,0.00129,682.2361,13423.6591,0.0
2023-09-29 09:00:00+00:00,short,0.4605,0.473987,5649.1895,SL,0.012611,-171.1054,13252.5537,0.012747
2023-10-02 15:00:00+00:00,long,0.4914,0.478777,6737.5644,SL,0.018623,-179.8058,13072.7479,0.026141
2023-10-09 09:00:00+00:00,short,0.4547,0.399613,5475.8551,TP,0.003961,657.93,13730.6779,0.0
2023-10-16 13:00:00+00:00,short,0.4131,0.427627,5282.2101,SL,0.015459,-191.0297,13539.6482,0.013913
2023-10-22 07:00:00+00:00,short,0.4006,0.409101,6903.5336,SL,0.023801,-153.4071,13386.2411,0.025085
2023-10-30 00:00:00+00:00,long,0.4633,0.446823,3862.3615,SL,0.010587,-141.2221,13245.019,0.03537
2023-11-01 18:00:00+00:00,short,0.431,0.45275,3858.2898,SL,0.017302,-198.5632,13046.4558,0.049832
2023-11-02 14:00:00+00:00,long,0.4703,0.450248,3632.0158,SL,0.012431,-158.4915,12887.9642,0.061375
2023-11-08 12:00:00+00:00,long,0.4686,0.549041,5010.8777,TP,0.000498,855.1733,13743.1375,0.0
2023-11-09 16:00:00+00:00,long,0.5694,0.546125,3032.4672,SL,0.038519,-126.9867,13616.1509,0.00924
2023-11-11 04:00:00+00:00,long,0.6085,0.573799,2346.0839,SL,0.011638,-136.1383,13480.0126,0.019146
2023-11-20 14:00:00+00:00,long,0.5633,0.547866,4977.2293,SL,0.010422,-141.3529,13338.6597,0.029431
2023-11-22 13:00:00+00:00,short,0.5046,0.536329,2585.841,SL,0.012448,-165.183,13173.4767,0.041451
2023-11-25 01:00:00+00:00,long,0.5802,0.685572,4167.2475,TP,0.008015,752.6611,13926.1379,0.0
2023-12-06 05:00:00+00:00,long,0.6403,0.614043,3501.1902,SL,0.010327,-147.0738,13779.064,0.010561
2023-12-11 02:00:00+00:00,long,0.6658,0.636372,3436.3655,SL,0.02652,-155.3243,13623.7398,0.021714
2023-12-14 13:00:00+00:00,long,0.6692,0.648676,4673.1531,SL,0.023989,-147.9967,13475.7431,0.032342
2023-12-20 07:00:00+00:00,long,0.6323,0.737986,3859.6477,TP,0.006704,641.2643,14117.0074,0.0
2023-12-20 20:00:00+00:00,long,0.7307,0.674504,1674.3217,SL,0.009203,-130.4405,13986.5669,0.00924
2023-12-26 00:00:00+00:00,long,0.7208,0.860845,3603.5541,TP,0.007506,696.5336,14683.1005,0.0
2023-12-26 06:00:00+00:00,long,0.8686,0.816954,3046.7227,SL,0.014453,-184.2021,14498.8984,0.012545
2024-01-03 12:00:00+00:00,long,0.868,0.838543,4288.8736,SL,0.06717,-149.8377,14349.0608,0.02275
2024-01-06 01:00:00+00:00,long,0.9001,0.850003,2369.9684,SL,0.010661,-134.2766,14214.7842,0.031895
2024-01-11 20:00:00+00:00,long,0.8648,1.104313,2682.9834,TP,0.000698,740.391,14955.1751,0.0
2024-01-12 17:00:00+00:00,long,1.1892,1.093287,2179.7331,SL,0.012403,-177.9833,14777.1918,0.011901
2024-01-18 16:00:00+00:00,long,1.2751,1.167882,1678.5445,SL,0.010939,-142.8208,14634.371,0.021451
2024-01-29 16:00:00+00:00,long,1.1691,1.580644,2361.8668,TP,0.008117,829.0578,15463.4288,0.0
2024-02-01 03:00:00+00:00,long,1.5588,1.459634,2474.929,SL,0.010586,-159.9223,15303.5065,0.010342
2024-02-04 23:00:00+00:00,long,1.5141,1.468668,4819.749,SL,0.010796,-149.4402,15154.0663,0.020006
2024-02-07 08:00:00+00:00,long,1.556,1.507921,5347.3017,SL,0.016441,-170.5748,14983.4915,0.031037
2024-02-09 11:00:00+00:00,long,1.5894,1.544703,4816.4283,SL,0.009425,-140.2651,14843.2264,0.040108
2024-02-14 09:00:00+00:00,long,1.6389,1.918217,3869.7915,TP,0.007668,655.6578,15498.8842,0.0
2024-02-19 05:00:00+00:00,long,1.8064,1.764425,7131.6123,SL,0.011055,-172.8471,15326.0371,0.011152
2024-02-19 13:00:00+00:00,long,1.8248,1.774886,7240.2668,SL,0.013695,-205.2831,15120.754,0.024397
2024-02-23 03:00:00+00:00,long,1.7591,1.702422,4453.3742,SL,0.010213,-147.9416,14972.8124,0.033943
2024-02-27 14:00:00+00:00,long,1.6625,1.621002,5542.2087,SL,0.011132,-143.8817,14828.9307,0.043226
2024-03-06 07:00:00+00:00,short,1.3154,1.495105,1532.4636,SL,0.014754,-210.8924,14618.0384,0.056833
2024-03-07 05:00:00+00:00,long,1.6,1.528172,3248.0716,SL,0.013304,-149.0621,14468.9763,0.06645
2024-03-09 23:00:00+00:00,long,1.6374,1.577029,5005.3123,SL,0.013373,-189.5516,14279.4247,0.07868
2024-03-16 14:00:00+00:00,long,1.6492,1.544345,2043.273,SL,0.009683,-131.9531,14147.4716,0.087194
