exit_time,direction,level,profit_level,exit_reason,notional,entry_capital,peak_loss_ratio,pnl_usdt,capital,drawdown
2021-05-24 09:00:00+00:00,short,0,0,TP1,250.0,10000.0,0.0,1.5833,10001.5833,0.0
2021-05-25 10:00:00+00:00,short,8,0,TP2,250.0,10000.0,0.019696,39.6847,10041.268,0.0
2021-05-28 21:00:00+00:00,short,10,0,TP,250.0,10000.0,0.020052,119.0448,10160.3128,0.0
2021-05-30 12:00:00+00:00,short,0,0,TP1,254.00781955176132,10160.312782070452,0.000468,1.6087,10161.9215,0.0
2021-05-31 01:00:00+00:00,short,0,1,TP2,254.00781955176132,10160.312782070452,0.000468,8.2458,10170.1673,0.0
2021-06-08 14:00:00+00:00,short,9,1,TP,254.00781955176132,10160.312782070452,0.025218,190.249,10360.4163,0.0
2021-06-10 04:00:00+00:00,short,0,0,TP1,259.0104080279572,10360.416321118288,0.000231,1.6404,10362.0567,0.0
2021-06-10 16:00:00+00:00,short,0,1,TP2,259.0104080279572,10360.416321118288,0.000231,8.4137,10370.4704,0.0
2021-06-12 01:00:00+00:00,short,0,3,TP,259.0104080279572,10360.416321118288,0.000231,57.632,10428.1024,0.0
2021-06-16 11:00:00+00:00,short,4,0,TP1,260.7025600835425,10428.1024033417,0.005292,7.9215,10436.0239,0.0
2021-06-16 14:00:00+00:00,short,4,0,TP2,260.7025600835425,10428.1024033417,0.005292,16.6184,10452.6423,0.0
2021-06-18 14:00:00+00:00,short,4,3,TP,260.7025600835425,10428.1024033417,0.005292,94.944,10547.5864,0.0
2021-06-24 22:00:00+00:00,short,0,0,TP1,263.6896590571869,10547.586362287475,1e-06,1.67,10549.2564,0.0
2021-06-25 09:00:00+00:00,short,0,1,TP2,263.6896590571869,10547.586362287475,1e-06,8.5529,10557.8093,0.0
2021-06-25 13:00:00+00:00,short,0,1,TP,263.6896590571869,10547.586362287475,1e-06,17.3433,10575.1527,0.0
