exit_time,direction,level,profit_level,exit_reason,notional,entry_capital,peak_loss_ratio,pnl_usdt,capital,drawdown
2023-05-05 14:00:00+00:00,short,0,0,TP1,250.0,10000.0,0.000144,1.5833,10001.5833,0.0
2023-05-06 13:00:00+00:00,short,3,2,TP2,250.0,10000.0,0.002066,27.3778,10028.9611,0.0
2023-05-07 23:00:00+00:00,short,6,6,TP,250.0,10000.0,0.002066,193.4811,10222.4421,0.0
2023-05-09 22:00:00+00:00,short,0,0,TP1,255.56105372193906,10222.442148877562,0.0,1.6186,10224.0607,0.0
2023-05-10 08:00:00+00:00,short,1,1,TP2,255.56105372193906,10222.442148877562,0.000409,13.2307,10237.2914,0.0
2023-05-10 17:00:00+00:00,short,3,1,TP,255.56105372193906,10222.442148877562,0.000788,67.15,10304.4415,0.0
2023-05-14 00:00:00+00:00,short,2,1,TP1,257.61103664410683,10304.441465764272,0.001389,6.4547,10310.8962,0.0
2023-05-21 15:00:00+00:00,short,9,6,TP2,257.61103664410683,10304.441465764272,0.015189,71.7168,10382.613,0.0
2023-05-22 00:00:00+00:00,short,9,6,TP,257.61103664410683,10304.441465764272,0.015189,147.3643,10529.9773,0.0
2023-05-23 13:00:00+00:00,short,0,1,TP1,263.24943284980054,10529.977313992022,7.8e-05,3.3274,10533.3047,0.0
2023-05-23 20:00:00+00:00,short,0,1,TP2,263.24943284980054,10529.977313992022,7.8e-05,6.8375,10540.1422,0.0
2023-05-24 04:00:00+00:00,short,0,1,TP,263.24943284980054,10529.977313992022,7.8e-05,13.8578,10554.0001,0.0
2023-05-25 15:00:00+00:00,short,0,0,TP1,263.8500013917503,10554.000055670012,0.0,1.6711,10555.6711,0.0
2023-05-31 02:00:00+00:00,short,5,3,TP2,263.8500013917503,10554.000055670012,0.014972,43.1774,10598.8485,0.0
2023-06-02 00:00:00+00:00,short,6,7,TP,263.8500013917503,10554.000055670012,0.014972,191.5387,10790.3872,0.0
2023-06-05 00:00:00+00:00,short,1,1,TP1,269.759680695193,10790.38722780772,0.000449,5.1047,10795.4919,0.0
2023-06-05 02:00:00+00:00,short,1,1,TP2,269.759680695193,10790.38722780772,0.000449,10.5003,10805.9922,0.0
2023-06-05 13:00:00+00:00,short,1,1,TP,269.759680695193,10790.38722780772,0.000449,21.2915,10827.2837,0.0
2023-06-09 17:00:00+00:00,short,0,1,TP1,270.68209207456323,10827.283682982528,0.000228,3.4243,10830.708,0.0
2023-06-10 00:00:00+00:00,short,0,1,TP2,270.68209207456323,10827.283682982528,0.000228,7.0335,10837.7415,0.0
2023-06-10 01:00:00+00:00,short,0,1,TP,270.68209207456323,10827.283682982528,0.000228,14.2519,10851.9934,0.0
2023-06-12 17:00:00+00:00,short,2,0,TP1,271.2998338948239,10851.993355792956,0.000396,5.0852,10857.0785,0.0
2023-06-12 19:00:00+00:00,short,2,0,TP2,271.2998338948239,10851.993355792956,0.000396,10.5126,10867.5911,0.0
2023-06-14 20:00:00+00:00,short,7,3,TP,271.2998338948239,10851.993355792956,0.004193,191.7281,11059.3192,0.0
2023-06-18 20:00:00+00:00,short,6,0,TP1,276.48297971597503,11059.319188639001,0.010757,11.2651,11070.5843,0.0
2023-06-18 21:00:00+00:00,short,6,0,TP2,276.48297971597503,11059.319188639001,0.010757,24.1879,11094.7722,0.0
