exit_time,direction,entry_price,exit_price,notional,exit_reason,peak_loss_ratio,pnl_usdt,capital,drawdown
2021-05-17 03:00:00+00:00,short,48992.35,43337.709519,3104.9335,TP,0.005305,355.2629,10355.2629,0.0
2021-05-17 06:00:00+00:00,short,42990.79,44962.303055,2064.0878,SL,0.010929,-96.721,10258.5419,0.00934
2021-05-19 12:00:00+00:00,short,40875.75,32887.464218,2659.3396,TP,0.002859,517.0514,10775.5933,0.0
2021-05-19 16:00:00+00:00,short,35060.39,38485.080315,1453.7111,SL,0.019565,-143.4519,10632.1414,0.013313
2021-05-24 11:00:00+00:00,short,35911.08,37176.854591,2784.6769,SL,0.014456,-100.9375,10531.2039,0.02268
2021-05-28 13:00:00+00:00,short,35953.11,37232.403453,2981.9037,SL,0.010244,-109.0848,10422.1191,0.032803
2021-06-01 13:00:00+00:00,short,36184.73,37164.896267,3428.5741,SL,0.011619,-96.3012,10325.8179,0.04174
2021-06-07 20:00:00+00:00,short,37938.69,34059.525735,3617.7025,TP,0.001988,366.286,10692.1039,0.007748
2021-06-09 12:00:00+00:00,short,34431.11,35290.816399,3667.7463,SL,0.009802,-95.2473,10596.8566,0.016587
2021-06-20 10:00:00+00:00,short,37691.87,33700.603611,4617.5537,TP,0.005851,484.3443,11081.2009,0.0
2021-06-20 18:00:00+00:00,short,34072.99,34862.659609,4299.2286,SL,0.010316,-103.9374,10977.2635,0.00938
2021-06-23 01:00:00+00:00,short,32741.45,33998.639375,2564.4472,SL,0.011691,-101.0328,10876.2307,0.018497
2021-06-27 22:00:00+00:00,short,33300.0,34098.737277,4526.3612,SL,0.016388,-113.0961,10763.1346,0.028703
2021-06-30 18:00:00+00:00,short,34191.68,34833.552199,5000.5798,SL,0.009528,-98.8753,10664.2593,0.037626
2021-07-03 07:00:00+00:00,short,33481.62,34182.691803,3666.2718,SL,0.011997,-80.4344,10583.825,0.044885
2021-07-06 08:00:00+00:00,short,34559.32,35081.520576,5451.2188,SL,0.008356,-87.8206,10496.0044,0.05281
2021-07-11 21:00:00+00:00,short,33845.64,34284.688992,8444.5187,SL,0.018122,-117.9877,10378.0167,0.063457
2021-07-15 17:00:00+00:00,short,33524.79,31341.390323,6151.1643,TP,0.00186,394.4613,10772.4781,0.02786
2021-07-15 19:00:00+00:00,short,31265.99,31776.444681,6781.0669,SL,0.010278,-117.4901,10654.988,0.038463
2021-07-21 09:00:00+00:00,short,30694.28,31176.250969,5861.7358,SL,0.012649,-97.9045,10557.0835,0.047298
2021-07-29 00:00:00+00:00,long,40449.68,39539.035712,2312.345,SL,0.005895,-54.3702,10502.7133,0.052204
2021-08-01 23:00:00+00:00,long,40687.88,39742.783565,3899.5014,SL,0.012205,-94.477,10408.2363,0.06073
2021-08-05 14:00:00+00:00,short,38045.01,38649.790429,5536.7035,SL,0.014052,-93.5506,10314.6857,0.069173
2021-08-13 20:00:00+00:00,long,42213.52,47238.377935,2767.9066,TP,3.2e-05,326.708,10641.3937,0.039689
2021-08-14 09:00:00+00:00,long,47606.39,46847.735205,5147.0943,SL,0.008904,-87.1711,10554.2226,0.047556
2021-08-16 13:00:00+00:00,long,47568.9,46754.486855,5820.1877,SL,0.01434,-105.4659,10448.7567,0.057074
2021-08-23 10:00:00+00:00,long,46580.72,50501.283996,4411.3581,TP,0.00193,366.8798,10815.6365,0.023965
2021-08-26 03:00:00+00:00,long,48811.99,48028.482924,4886.9199,SL,0.008877,-83.3295,10732.307,0.031485
2021-08-29 22:00:00+00:00,short,48617.69,49083.857298,6516.6926,SL,0.010353,-69.0015,10663.3055,0.037712
2021-09-06 22:00:00+00:00,long,48766.72,52569.404486,6023.4509,TP,0.007689,463.6674,11126.9729,0.0
2021-09-07 08:00:00+00:00,long,52619.61,52086.011299,11118.8697,SL,0.026541,-123.8718,11003.1011,0.011133
2021-09-20 02:00:00+00:00,long,46533.32,45865.45047,2660.7608,SL,0.003795,-40.8493,10962.2518,0.014804
2021-09-21 21:00:00+00:00,short,44825.72,40041.023162,4380.4502,TP,0.004228,463.1888,11425.4406,0.0
2021-09-26 09:00:00+00:00,short,42357.05,43452.153787,2957.5027,SL,0.008543,-79.4211,11346.0195,0.006951
2021-09-28 13:00:00+00:00,short,41762.05,42504.813614,5490.18,SL,0.009325,-103.1364,11242.8831,0.015978
2021-10-01 10:00:00+00:00,long,42953.64,46917.78555,5280.9204,TP,0.00266,482.0896,11724.9727,0.0
2021-10-06 13:00:00+00:00,long,47086.56,52909.685355,3280.2202,TP,0.001961,402.3798,12127.3524,0.0
2021-10-15 20:00:00+00:00,long,54035.59,62203.202546,4279.8712,TP,0.004319,642.6332,12769.9856,0.0
2021-10-15 21:00:00+00:00,long,62618.88,61206.289278,4380.3147,SL,0.009927,-103.1938,12666.7918,0.008081
2021-10-17 20:00:00+00:00,short,61200.0,60178.056066,7930.9163,TP,0.002036,124.5029,12791.2947,0.0
2021-10-21 14:00:00+00:00,long,64219.99,63146.225032,7830.1377,SL,0.013755,-138.7509,12652.5439,0.010847
2021-10-22 15:00:00+00:00,short,62485.47,61094.100501,5693.6972,TP,0.000161,121.0884,12773.6322,0.001381
2021-10-26 14:00:00+00:00,long,62683.86,61880.213306,6912.5479,SL,0.007187,-95.5358,12678.0965,0.00885
2021-10-28 18:00:00+00:00,long,60584.07,59555.969652,5943.8466,SL,0.023479,-106.8098,12571.2866,0.0172
2021-11-01 17:00:00+00:00,long,62257.67,60992.683504,5514.7067,SL,0.010604,-117.5656,12453.721,0.026391
2021-11-03 13:00:00+00:00,long,63155.43,62152.902744,5100.4464,SL,0.009607,-86.0648,12367.6562,0.033119
2021-11-06 10:00:00+00:00,long,61070.37,60608.350145,9234.476,SL,0.006729,-79.0967,12288.5596,0.039303
2021-11-10 21:00:00+00:00,long,65097.19,64164.790292,6329.1277,SL,0.021336,-96.9825,12191.5771,0.046885
2021-11-13 18:00:00+00:00,long,64759.78,63998.48031,7676.9277,SL,0.008082,-97.925,12093.6521,0.05454
2021-11-15 15:00:00+00:00,long,65568.39,64721.151046,8164.744,SL,0.012978,-113.6651,11979.987,0.063427
2021-11-22 00:00:00+00:00,long,59451.04,58516.927923,5754.8826,SL,0.011716,-96.1773,11883.8098,0.070946
2021-11-24 20:00:00+00:00,long,56157.2,57226.316754,6713.7108,TP,0.000488,121.1014,12004.9112,0.061478
2021-11-25 05:00:00+00:00,long,58061.29,57189.325109,6086.9384,SL,0.009015,-97.5006,11907.4106,0.0691
2021-11-26 04:00:00+00:00,long,58672.72,57907.603891,6507.3277,SL,0.008865,-91.3655,11816.045,0.076243
2021-11-27 10:00:00+00:00,long,55063.84,54308.923273,6230.5043,SL,0.007296,-91.6498,11724.3953,0.083408
2021-12-03 16:00:00+00:00,long,56297.74,55276.972063,5850.1093,SL,0.012393,-111.9219,11612.4734,0.092158
2022-01-07 15:00:00+00:00,short,50278.8,40863.464081,3904.3077,TP,0.012406,727.2263,12339.6996,0.035305
2022-01-08 21:00:00+00:00,short,40846.58,41456.987179,8571.1073,SL,0.021314,-136.6569,12203.0428,0.045988
2022-01-10 14:00:00+00:00,short,40753.0,41297.342419,6005.707,SL,0.007061,-86.2246,12116.8182,0.052729
2022-01-21 01:00:00+00:00,short,43170.0,39827.925383,7128.4048,TP,0.008585,544.7285,12661.5466,0.010143
2022-01-22 09:00:00+00:00,short,39750.69,34708.778913,3960.6162,TP,0.004035,498.3973,13159.9439,0.0
2022-01-22 10:00:00+00:00,short,34804.48,35902.86151,3432.8521,SL,0.008437,-111.7689,13048.175,0.008493
2022-01-31 14:00:00+00:00,short,36821.39,37460.148471,6033.5162,SL,0.008522,-110.6998,12937.4751,0.016905
2022-02-04 06:00:00+00:00,short,37419.51,37961.702498,6742.8047,SL,0.008085,-104.4431,12833.032,0.024841
2022-02-06 16:00:00+00:00,short,41300.0,41651.373957,9771.6909,SL,0.007031,-92.9077,12740.1243,0.031901
2022-02-08 20:00:00+00:00,short,43445.93,44319.399798,5694.2654,SL,0.00929,-120.1761,12619.9482,0.041033
2022-02-14 06:00:00+00:00,short,41663.77,42209.306367,9089.3761,SL,0.010544,-128.1037,12491.8445,0.050768
2022-02-16 19:00:00+00:00,short,43492.2,43977.473211,9915.5011,SL,0.01529,-120.5498,12371.2948,0.059928
2022-02-17 21:00:00+00:00,short,43214.7,40262.360263,8457.4914,TP,0.002106,569.341,12940.6358,0.016665
2022-02-22 03:00:00+00:00,short,40643.4,36452.72216,6794.9659,TP,0.003885,693.8234,13634.4592,0.0
2022-02-24 15:00:00+00:00,short,34907.8,35930.643185,4313.7809,SL,0.011042,-130.7131,13503.7461,0.009587
2022-02-27 06:00:00+00:00,short,38228.3,38854.93697,8466.1035,SL,0.010434,-147.2422,13356.5039,0.020386
2022-03-09 03:00:00+00:00,short,39785.4,40612.115883,6394.0106,SL,0.019916,-139.2576,13217.2463,0.0306
2022-03-16 02:00:00+00:00,short,40931.0,41708.823483,3718.2847,SL,0.006,-74.3779,13142.8684,0.036055
2022-03-20 20:00:00+00:00,short,41037.3,41485.37238,14630.3139,SL,0.017054,-174.3738,12968.4947,0.048844
2022-03-21 10:00:00+00:00,short,40785.4,41351.332158,12089.5377,SL,0.014551,-179.8422,12788.6525,0.062034
2022-03-27 00:00:00+00:00,short,44417.4,44641.334621,18447.943,SL,0.009938,-111.455,12677.1975,0.070209
2022-03-31 23:00:00+00:00,long,46114.2,45417.28872,6515.2334,SL,0.010356,-104.9782,12572.2193,0.077908
2022-04-04 17:00:00+00:00,long,46096.7,45453.400671,5859.534,SL,0.0094,-87.6319,12484.5874,0.084336
2022-04-05 20:00:00+00:00,long,46019.5,45650.681164,9663.0671,SL,0.006871,-87.1068,12397.4807,0.090724
2022-04-11 09:00:00+00:00,short,44980.0,41364.062568,9062.5459,TP,0.00822,719.4746,13116.9552,0.037956
2022-04-18 04:00:00+00:00,short,41372.0,38630.333102,7048.6267,TP,0.003384,460.0544,13577.0096,0.004214
2022-04-18 12:00:00+00:00,short,38798.4,39344.679982,7363.502,SL,0.00922,-111.0413,13465.9683,0.012358
2022-05-01 01:00:00+00:00,short,40594.3,37386.304635,7625.3129,TP,0.003418,594.9708,14060.9391,0.0
2022-05-04 06:00:00+00:00,short,37749.6,38184.872612,11349.7693,SL,0.014213,-142.2185,13918.7206,0.010114
2022-05-05 15:00:00+00:00,short,38214.8,35732.939739,6778.3115,TP,0.000242,433.4391,14352.1597,0.0
2022-05-09 16:00:00+00:00,short,36886.4,32036.754441,4804.2308,TP,0.004046,626.8328,14978.9925,0.0
2022-05-10 06:00:00+00:00,short,31691.5,32584.994015,5242.3844,SL,0.010585,-153.0435,14825.949,0.010217
2022-05-11 10:00:00+00:00,long,30598.9,31988.715537,3470.4203,TP,0.001778,154.1576,14980.1066,0.0
2022-05-14 16:00:00+00:00,short,29065.0,29583.785236,5919.8673,SL,0.008632,-111.5844,14868.5222,0.007449
2022-05-19 14:00:00+00:00,short,29338.1,29802.661932,6501.3767,SL,0.008226,-109.4492,14759.0731,0.014755
2022-05-22 09:00:00+00:00,short,29485.7,30076.976673,5465.2472,SL,0.008971,-115.0598,14644.0132,0.022436
2022-05-24 15:00:00+00:00,short,29062.8,29610.920585,7023.9255,SL,0.010054,-139.4942,14504.519,0.031748
2022-05-27 19:00:00+00:00,short,28382.5,28939.278128,7387.8225,SL,0.011862,-152.3144,14352.2046,0.041916
2022-06-06 14:00:00+00:00,short,31160.5,31629.429652,7599.2414,SL,0.010527,-121.9591,14230.2455,0.050057
2022-06-07 19:00:00+00:00,short,30195.0,30748.878585,4876.6356,SL,0.014003,-94.3307,14135.9149,0.056354
2022-06-10 03:00:00+00:00,short,29737.9,30141.277498,10623.1295,SL,0.016077,-154.7198,13981.1951,0.066683
2022-06-12 03:00:00+00:00,short,29385.0,27271.720707,9069.0297,TP,0.006247,643.1478,14624.343,0.023749
2022-06-13 11:00:00+00:00,short,26564.7,23532.258624,4694.7811,TP,0.003774,531.2288,15155.5717,0.0
2022-06-13 16:00:00+00:00,short,22789.7,23883.554397,4315.4695,SL,0.017542,-211.4483,14944.1234,0.013952
2022-06-14 03:00:00+00:00,short,20834.7,21955.927572,3077.2029,SL,0.014156,-168.6781,14775.4453,0.025082
2022-06-15 11:00:00+00:00,short,20255.4,21102.655546,3411.2151,SL,0.011632,-146.0977,14629.3477,0.034721
2022-06-19 10:00:00+00:00,short,18997.6,19646.054572,4004.3634,SL,0.015884,-140.6873,14488.6604,0.044004
2022-06-22 11:00:00+00:00,short,20103.5,20579.409222,5327.5732,SL,0.010545,-131.447,14357.2134,0.052678
2022-06-28 08:00:00+00:00,short,20729.9,21051.330173,7231.786,SL,0.010208,-119.3652,14237.8482,0.060554
2022-06-30 20:00:00+00:00,short,20341.5,18613.320457,7867.6826,TP,0.002947,660.5574,14898.4056,0.016968
2022-07-05 17:00:00+00:00,short,19364.9,19722.28069,6567.3052,SL,0.009631,-127.7674,14770.6382,0.025399
2022-07-12 07:00:00+00:00,short,21075.3,19768.579141,10393.7162,TP,0.003162,634.0425,15404.6806,0.0
2022-07-12 13:00:00+00:00,short,19722.9,19978.019924,9345.1687,SL,0.008508,-130.2269,15274.4537,0.008454
2022-07-13 07:00:00+00:00,short,19383.6,19704.577093,7992.8702,SL,0.013671,-140.3485,15134.1052,0.017564
2022-07-13 14:00:00+00:00,short,19153.4,19624.829319,5456.97,SL,0.010064,-139.7713,14994.334,0.026638
2022-07-18 02:00:00+00:00,short,20912.5,21286.826036,8869.9007,SL,0.01291,-167.6379,14826.6961,0.03752
2022-07-21 16:00:00+00:00,short,22605.4,23060.457099,4723.4278,SL,0.008323,-99.8082,14726.8879,0.043999
2022-07-27 19:00:00+00:00,short,22578.9,23041.960497,6439.1013,SL,0.010091,-138.4957,14588.3922,0.05299
2022-07-29 14:00:00+00:00,short,23513.9,23941.307726,5773.9345,SL,0.011885,-110.7257,14477.6665,0.060177
2022-08-01 13:00:00+00:00,short,23026.5,23307.11934,11504.257,SL,0.010926,-151.7043,14325.9622,0.070025
2022-08-05 02:00:00+00:00,short,22578.9,22944.453945,8162.9834,SL,0.013151,-140.3222,14185.6399,0.079134
2022-08-07 12:00:00+00:00,short,22943.3,23119.846333,18792.1026,SL,0.011357,-163.3954,14022.2445,0.089741
2022-08-10 12:00:00+00:00,short,23340.1,23588.439278,11077.6993,SL,0.02369,-128.9447,13893.2998,0.098112
2022-08-15 01:00:00+00:00,short,24213.9,24449.441153,10953.5334,SL,0.014118,-117.5042,13775.7956,0.10574
2022-08-19 06:00:00+00:00,short,24119.4,21924.233697,5799.6226,TP,0.005544,522.0384,14297.834,0.071851
2022-09-06 17:00:00+00:00,short,21898.9,19411.915108,5169.2806,TP,0.003872,581.8886,14879.7226,0.034078
2022-09-09 03:00:00+00:00,short,19088.2,19465.202307,5488.2504,SL,0.016958,-113.8842,14765.8385,0.041471
2022-09-19 05:00:00+00:00,short,21397.2,18500.968061,4213.934,TP,0.001638,566.1658,15332.0043,0.004718
2022-09-19 12:00:00+00:00,short,18448.4,18828.40677,5523.3327,SL,0.0081,-119.2949,15212.7094,0.012462
2022-09-21 11:00:00+00:00,short,18756.8,19147.513042,6716.0858,SL,0.010385,-146.6153,15066.094,0.021979
2022-09-23 20:00:00+00:00,short,18627.3,18935.495389,8681.7938,SL,0.009887,-152.3252,14913.7688,0.031868
2022-09-27 00:00:00+00:00,short,19130.1,19343.446968,7054.122,SL,0.005758,-85.7247,14828.0442,0.037433
2022-09-28 10:00:00+00:00,short,18623.8,19023.13414,4709.3516,SL,0.008803,-105.6879,14722.3562,0.044293
2022-10-13 12:00:00+00:00,short,19399.7,18056.290164,9376.0852,TP,0.007747,639.9084,15362.2647,0.002753
2022-10-13 15:00:00+00:00,short,18377.9,18764.630955,9264.4224,SL,0.021848,-204.2181,15158.0466,0.01601
2022-10-23 21:00:00+00:00,short,19409.5,19587.868759,17024.4568,SL,0.012181,-173.4752,14984.5714,0.027272
2022-10-28 12:00:00+00:00,short,20069.9,20262.281614,10955.5034,SL,0.007945,-115.9703,14868.601,0.0348
2022-11-01 02:00:00+00:00,short,20315.4,20569.275693,9500.3736,SL,0.008259,-128.2238,14740.3772,0.043123
2022-11-07 02:00:00+00:00,short,20900.0,21061.155954,16338.3928,SL,0.008623,-142.3207,14598.0566,0.052362
2022-11-07 19:00:00+00:00,short,20628.1,20826.224735,13741.0424,SL,0.01175,-145.7183,14452.3382,0.061822
2022-11-08 14:00:00+00:00,short,20450.0,19325.677162,9698.0208,TP,0.007035,523.4905,14975.8288,0.027839
2023-01-13 20:00:00+00:00,short,18584.5,19420.427727,2741.7088,SL,0.00893,-126.0633,14849.7655,0.036023
2023-01-20 16:00:00+00:00,short,21035.5,21397.035954,9780.2944,SL,0.012195,-177.8737,14671.8918,0.047569
2023-01-20 22:00:00+00:00,long,21494.2,22599.936491,13294.9449,TP,1.7e-05,670.6433,15342.5351,0.004034
2023-02-09 19:00:00+00:00,long,22590.6,22179.032944,6164.8983,SL,0.012958,-118.4802,15224.055,0.011725
2023-02-12 13:00:00+00:00,long,21896.4,21794.973339,23848.8331,SL,0.010474,-134.3194,15089.7356,0.020445
2023-02-14 15:00:00+00:00,long,22239.9,21929.438308,8163.4462,SL,0.00964,-122.1225,14967.6131,0.028372
2023-02-15 19:00:00+00:00,long,22433.0,23342.176745,7899.1208,TP,2e-06,312.2407,15279.8538,0.008103
2023-02-16 00:00:00+00:00,long,23310.6,24925.145066,9733.0928,TP,0.000675,664.403,15944.2568,0.0
2023-02-16 22:00:00+00:00,long,24609.9,24083.998713,6088.9252,SL,0.009464,-136.2062,15808.0506,0.008543
2023-02-17 22:00:00+00:00,long,24835.2,24344.597559,6166.5683,SL,0.01263,-127.9829,15680.0677,0.01657
2023-02-19 16:00:00+00:00,long,24929.7,24739.630034,19413.5464,SL,0.013891,-167.427,15512.6406,0.02707
2023-02-23 10:00:00+00:00,long,24520.1,24203.761697,9166.172,SL,0.007882,-127.4206,15385.22,0.035062
2023-02-26 22:00:00+00:00,long,23627.1,23404.342709,13715.2966,SL,0.011964,-143.0237,15242.1963,0.044032
2023-02-27 15:00:00+00:00,long,23696.1,23482.915845,11689.0738,SL,0.007893,-116.8509,15125.3454,0.051361
2023-02-28 20:00:00+00:00,short,23446.8,23156.670438,18370.4531,TP,0.005242,208.9446,15334.29,0.038256
2023-03-01 19:00:00+00:00,long,23788.2,23482.654405,10167.1629,SL,0.013153,-140.7585,15193.5316,0.047084
2023-03-05 02:00:00+00:00,long,22582.7,22416.51767,20172.7789,SL,0.023976,-168.6209,15024.9107,0.05766
