exit_time,direction,entry_price,exit_price,notional,exit_reason,peak_loss_ratio,pnl_usdt,capital,drawdown
2025-06-02 05:00:00+00:00,long,33.41,32.814603,3635.2818,SL,0.008705,-68.4193,9931.5807,0.006842
2025-06-02 23:00:00+00:00,long,34.468,36.500762,2948.5207,TP,0.001817,170.9415,10102.5222,0.0
2025-06-03 16:00:00+00:00,long,37.675,36.999666,2987.4752,SL,0.006326,-56.5387,10045.9835,0.005596
2025-06-06 16:00:00+00:00,long,35.131,34.519666,2271.4675,SL,0.004332,-41.7986,10004.1849,0.009734
2025-06-08 17:00:00+00:00,long,34.727,36.105671,3951.8198,TP,0.00455,152.9365,10157.1214,0.0
2025-06-08 22:00:00+00:00,long,35.919,35.476381,4135.4576,SL,0.008195,-55.0955,10102.0259,0.005424
2025-06-09 17:00:00+00:00,long,36.479,38.214119,3074.6626,TP,0.000125,143.1713,10245.1972,0.0
2025-06-10 09:00:00+00:00,long,38.485,40.28585,2632.3813,TP,0.002303,120.5461,10365.7433,0.0
2025-06-10 14:00:00+00:00,long,40.938,40.013483,2325.9727,SL,0.006983,-54.8542,10310.8891,0.005292
2025-06-11 17:00:00+00:00,long,43.522,42.690755,2985.6281,SL,0.005655,-60.0094,10250.8797,0.011081
2025-06-12 19:00:00+00:00,long,42.767,41.912202,2662.017,SL,0.006679,-55.8686,10195.011,0.016471
2025-06-13 18:00:00+00:00,long,41.232,40.129522,2010.864,SL,0.005348,-55.7782,10139.2329,0.021852
2025-06-15 06:00:00+00:00,long,41.163,40.468599,2971.0256,SL,0.005553,-53.0909,10086.142,0.026974
2025-06-15 20:00:00+00:00,long,41.279,40.66988,3059.5947,SL,0.00801,-48.2075,10037.9345,0.031624
2025-06-16 05:00:00+00:00,long,41.762,43.835764,2902.6992,TP,0.000374,141.2359,10179.1704,0.017999
2025-06-16 22:00:00+00:00,long,43.605,42.850729,3170.2621,SL,0.007842,-58.0088,10121.1616,0.023595
2025-06-21 09:00:00+00:00,short,34.271,35.207504,2014.8955,SL,0.00585,-57.0748,10064.0868,0.029101
2025-06-23 16:00:00+00:00,long,34.63,33.531954,1732.0702,SL,0.006749,-56.6525,10007.4343,0.034567
2025-06-27 00:00:00+00:00,long,36.91,35.694233,1690.2968,SL,0.007152,-57.3665,9950.0678,0.040101
2025-06-28 12:00:00+00:00,long,37.139,36.72469,4963.0495,SL,0.006339,-60.3291,9889.7388,0.045921
2025-06-29 09:00:00+00:00,long,37.599,38.763182,6647.4657,TP,0.0032,199.1787,10088.9174,0.026706
2025-06-29 15:00:00+00:00,long,38.987,38.624099,7344.2899,SL,0.010008,-75.7069,10013.2106,0.034009
2025-06-30 02:00:00+00:00,long,39.493,41.05329,4528.5231,TP,0.000916,174.3844,10187.595,0.017186
2025-06-30 06:00:00+00:00,long,40.681,40.052582,4231.3477,SL,0.009863,-69.5949,10118.0001,0.0239
2025-07-02 17:00:00+00:00,long,39.648,39.116723,3184.7503,SL,0.008987,-45.8599,10072.1401,0.028324
2025-07-04 02:00:00+00:00,long,40.073,39.483029,3722.4585,SL,0.008476,-58.5261,10013.6141,0.03397
2025-07-07 12:00:00+00:00,long,39.761,39.416644,9305.9382,SL,0.008765,-89.9013,9923.7127,0.042643
2025-07-09 17:00:00+00:00,long,38.503,40.058333,3396.4667,TP,0.000382,133.8042,10057.5169,0.029735
2025-07-10 04:00:00+00:00,long,40.265,41.765814,4878.3427,TP,0.00259,176.9541,10234.471,0.012664
2025-07-11 01:00:00+00:00,long,42.532,44.163031,4104.8887,TP,0.001047,153.3107,10387.7817,0.0
2025-07-12 07:00:00+00:00,long,45.182,47.116246,4248.9383,TP,0.00163,177.6485,10565.4302,0.0
2025-07-12 12:00:00+00:00,long,46.84,46.246001,3989.9992,SL,0.007361,-54.5889,10510.8413,0.005167
2025-07-14 03:00:00+00:00,long,48.324,49.760635,5123.0559,TP,0.004781,147.1814,10658.0227,0.0
2025-07-14 06:00:00+00:00,long,49.661,49.048346,6052.9611,SL,0.008977,-80.7266,10577.296,0.007574
2025-07-15 08:00:00+00:00,long,48.35,47.439632,3447.4136,SL,0.008878,-68.3578,10508.9383,0.013988
2025-07-16 01:00:00+00:00,long,48.329,47.65872,3688.0344,SL,0.005475,-54.8378,10454.1005,0.019133
2025-07-18 07:00:00+00:00,long,47.145,46.257977,2759.2264,SL,0.005744,-54.6735,10399.427,0.024263
2025-07-20 16:00:00+00:00,long,45.521,46.881639,4478.7028,TP,0.002526,129.3913,10528.8183,0.012123
2025-07-20 17:00:00+00:00,long,47.017,46.447692,4572.5756,SL,0.006346,-59.9399,10468.8784,0.017747
2025-07-27 19:00:00+00:00,long,44.276,43.758895,5931.9682,SL,0.007666,-75.2122,10393.6662,0.024804
2025-07-28 07:00:00+00:00,long,44.655,44.150935,4804.4551,SL,0.006739,-59.0371,10334.6291,0.030343
2025-07-28 14:00:00+00:00,long,45.23,44.594266,4080.5725,SL,0.011663,-61.4354,10273.1937,0.036107
2025-07-28 17:00:00+00:00,long,45.843,45.092333,3705.6583,SL,0.009001,-64.3848,10208.8089,0.042148
2025-07-31 13:00:00+00:00,long,44.152,43.635334,3511.7,SL,0.004254,-44.6056,10164.2033,0.046333
2025-07-31 17:00:00+00:00,long,44.489,43.86266,3383.3655,SL,0.010984,-51.0162,10113.1871,0.05112
2025-08-03 14:00:00+00:00,long,38.361,37.787377,2844.3591,SL,0.005477,-45.3769,10067.8102,0.055377
2025-08-04 02:00:00+00:00,long,38.987,38.472371,3810.2867,SL,0.006795,-54.1061,10013.7042,0.060454
2025-08-05 14:00:00+00:00,long,39.392,38.718472,2937.5698,SL,0.006829,-53.1644,9960.5398,0.065442
2025-08-07 14:00:00+00:00,long,37.996,39.521595,3123.9876,TP,0.003459,122.3087,10082.8484,0.053966
2025-08-07 16:00:00+00:00,long,39.559,39.092097,4450.6536,SL,0.010321,-56.9804,10025.868,0.059313
2025-08-08 11:00:00+00:00,long,39.87,41.480043,4163.9577,TP,0.002844,163.9863,10189.8543,0.043926
2025-08-08 14:00:00+00:00,long,41.51,41.014016,4882.8398,SL,0.007931,-63.2257,10126.6287,0.049859
2025-08-09 08:00:00+00:00,long,41.801,43.30417,3792.8568,TP,0.004247,132.5988,10259.2275,0.037417
2025-08-10 15:00:00+00:00,long,43.087,44.826406,3573.9693,TP,0.00266,140.7058,10399.9333,0.024216
2025-08-11 12:00:00+00:00,long,45.037,44.393113,3917.9161,SL,0.005947,-59.9318,10340.0016,0.029839
2025-08-12 13:00:00+00:00,long,44.274,43.499962,3221.8123,SL,0.010212,-59.5485,10280.4531,0.035426
2025-08-13 00:00:00+00:00,long,45.533,44.679407,2729.2544,SL,0.005067,-53.8937,10226.5594,0.040482
2025-08-13 15:00:00+00:00,long,46.032,45.181052,2253.9286,SL,0.004908,-43.9201,10182.6393,0.044603
2025-08-14 08:00:00+00:00,long,47.303,46.294884,2294.0518,SL,0.004858,-51.1846,10131.4547,0.049406
2025-08-15 14:00:00+00:00,long,48.634,47.332842,1786.756,SL,0.008688,-49.5898,10081.8649,0.054059
2025-08-17 11:00:00+00:00,long,47.692,47.19314,4707.6338,SL,0.005297,-53.9497,10027.9152,0.05912
2025-08-19 13:00:00+00:00,long,43.802,43.222056,3773.0347,SL,0.005154,-53.7285,9974.1867,0.064162
2025-08-21 03:00:00+00:00,long,43.232,42.304142,2387.6726,SL,0.00526,-53.6326,9920.5541,0.069194
2025-08-24 18:00:00+00:00,long,43.658,46.143624,2421.4673,TP,0.002024,135.4423,10055.9964,0.056486
2025-08-24 19:00:00+00:00,long,46.528,45.862274,4006.5839,SL,0.014104,-61.3331,9994.6633,0.06224
