exit_time,direction,entry_price,exit_price,notional,exit_reason,peak_loss_ratio,pnl_usdt,capital,drawdown
2021-05-13 21:00:00+00:00,short,39.15,41.053756,961.5311,SL,0.006113,-47.7181,9952.2819,0.004772
2021-05-14 17:00:00+00:00,long,44.605,43.481527,1469.9279,SL,0.00399,-38.4932,9913.7887,0.008621
2021-05-16 01:00:00+00:00,long,42.317,45.693733,1858.8367,TP,0.002118,146.4691,10060.2578,0.0
2021-05-16 13:00:00+00:00,long,46.288,50.779069,1579.1641,TP,0.001645,151.6384,10211.8962,0.0
2021-05-16 15:00:00+00:00,long,51.43,49.549144,1312.6159,SL,0.007698,-49.3165,10162.5796,0.004829
2021-05-17 17:00:00+00:00,long,49.703,46.873365,853.6033,SL,0.006763,-49.45,10113.1297,0.009672
2021-05-18 16:00:00+00:00,long,52.63,58.279507,998.1958,TP,0.002796,106.152,10219.2816,0.0
2021-05-18 17:00:00+00:00,long,58.146,55.466043,965.9025,SL,0.006912,-45.4845,10173.7971,0.004451
2021-05-19 06:00:00+00:00,short,47.732,51.071931,883.4897,SL,0.008176,-62.7035,10111.0936,0.010587
2021-05-19 12:00:00+00:00,short,43.974,32.980296,824.9598,TP,0.000529,205.4188,10316.5124,0.0
2021-05-19 13:00:00+00:00,short,31.506,37.219426,429.5752,SL,0.013059,-78.3305,10238.1819,0.007593
2021-05-20 19:00:00+00:00,long,48.338,45.050555,828.8584,SL,0.005954,-57.1991,10180.9828,0.013137
2021-05-23 03:00:00+00:00,short,37.816,29.482383,818.9685,TP,0.005116,179.6594,10360.6422,0.0
2021-05-23 09:00:00+00:00,short,27.801,22.771152,1177.0538,TP,0.003143,211.7794,10572.4216,0.0
2021-05-23 10:00:00+00:00,short,21.66,23.900234,864.1428,SL,0.018521,-90.2401,10482.1815,0.008535
2021-05-25 22:00:00+00:00,short,28.695,30.349059,969.2546,SL,0.008543,-56.8397,10425.3418,0.013912
2021-05-27 08:00:00+00:00,short,32.1,33.584722,1074.1706,SL,0.007967,-50.7578,10374.584,0.018713
2021-05-28 21:00:00+00:00,short,31.445,28.087656,1627.1353,TP,0.001935,172.1001,10546.684,0.002434
2021-05-30 05:00:00+00:00,short,27.353,28.258558,1737.9493,SL,0.005952,-59.2751,10487.4089,0.008041
2021-06-01 10:00:00+00:00,short,31.08,32.0097,1791.7779,SL,0.005184,-55.3895,10432.0195,0.01328
2021-06-01 23:00:00+00:00,short,30.066,30.948508,1841.7512,SL,0.006342,-55.9015,10376.118,0.018568
2021-06-04 03:00:00+00:00,short,37.928,39.20019,1843.5966,SL,0.007903,-63.6819,10312.436,0.024591
2021-06-05 23:00:00+00:00,short,37.948,39.337573,1283.7192,SL,0.006403,-48.2907,10264.1453,0.029159
2021-06-06 14:00:00+00:00,long,41.232,40.242698,1546.5896,SL,0.003665,-38.6548,10225.4905,0.032815
2021-06-06 19:00:00+00:00,long,42.781,41.583628,1648.912,SL,0.005153,-47.7993,10177.6912,0.037336
2021-06-08 02:00:00+00:00,short,41.14,37.507403,2466.3274,TP,0.000165,215.3065,10392.9977,0.016971
2021-06-11 15:00:00+00:00,long,39.865,37.954272,1066.2517,SL,0.005489,-52.1716,10340.826,0.021906
2021-06-11 21:00:00+00:00,short,37.82,35.304374,2538.6249,TP,0.002992,166.3199,10507.146,0.006174
2021-06-12 03:00:00+00:00,short,34.819,35.934623,2454.9773,SL,0.007797,-81.114,10426.0319,0.013846
2021-06-13 17:00:00+00:00,short,35.713,36.546346,3073.9569,SL,0.012664,-74.8033,10351.2286,0.020922
2021-06-14 13:00:00+00:00,short,37.155,37.907594,2201.8436,SL,0.010156,-46.8014,10304.4273,0.025348
2021-06-15 17:00:00+00:00,short,39.875,40.732505,2246.2155,SL,0.007719,-50.5507,10253.8766,0.03013
2021-06-16 15:00:00+00:00,short,38.093,38.779061,2986.7351,SL,0.01329,-56.7783,10197.0983,0.0355
2021-06-17 19:00:00+00:00,short,38.408,39.272226,2633.9173,SL,0.007344,-61.9002,10135.1981,0.041355
2021-06-18 18:00:00+00:00,short,37.466,35.403743,2840.6345,TP,0.001878,153.5176,10288.7157,0.026835
2021-06-19 21:00:00+00:00,short,35.326,35.948383,3133.6551,SL,0.005871,-58.3432,10230.3725,0.032353
