exit_time,direction,entry_price,exit_price,notional,exit_reason,peak_loss_ratio,pnl_usdt,capital,drawdown
2025-05-31 02:45:00+00:00,short,31.605,31.208628,503.6519,PARTIAL_TP,0.00079,5.8129,10005.8129,0.0
2025-05-31 03:25:00+00:00,short,31.605,31.464809,503.6519,SL,0.000341,1.7304,10007.5433,0.0
2025-05-31 05:20:00+00:00,short,31.49,31.779032,916.3588,SL,0.001291,-9.3272,9998.2161,0.000932
2025-05-31 09:25:00+00:00,short,31.299,31.059699,570.1348,PARTIAL_TP,0.000809,3.7889,10002.005,0.000553
2025-05-31 10:05:00+00:00,short,31.299,30.820399,570.1348,TP,0.0,8.1479,10010.1529,0.0
2025-06-01 00:30:00+00:00,short,32.579,32.775883,1945.9363,SL,0.001605,-13.7057,9996.4472,0.001369
2025-06-01 01:50:00+00:00,short,32.553,32.35039,926.3919,PARTIAL_TP,0.000102,4.8395,10001.2867,0.000886
2025-06-01 02:25:00+00:00,short,32.553,32.500362,926.3919,SL,0.0,0.5716,10001.8583,0.000829
2025-06-01 08:40:00+00:00,short,32.208,32.377038,1971.3651,SL,0.001126,-12.3177,9989.5405,0.002059
2025-06-01 09:20:00+00:00,short,32.232,32.065308,962.2527,PARTIAL_TP,0.000478,4.0142,9993.5547,0.001658
2025-06-01 09:40:00+00:00,short,32.232,31.898616,962.2527,TP,0.0,8.9906,10002.5453,0.00076
2025-06-01 13:05:00+00:00,short,31.623,31.836613,1941.0463,SL,0.001491,-15.0528,9987.4925,0.002264
2025-06-01 21:55:00+00:00,long,33.681,33.904568,816.6856,PARTIAL_TP,0.000675,4.6043,9992.0968,0.001804
2025-06-01 22:00:00+00:00,long,33.681,34.128135,816.6856,TP,7e-05,10.0253,10002.1221,0.000802
2025-06-02 00:15:00+00:00,long,34.229,34.046777,1714.5653,SL,0.001517,-10.8423,9991.2798,0.001885
2025-06-03 00:20:00+00:00,long,36.692,36.965765,642.2315,PARTIAL_TP,0.000487,4.1496,9995.4293,0.001471
2025-06-03 00:30:00+00:00,long,36.692,36.418235,642.2315,SL,0.000546,-5.434,9989.9953,0.002014
2025-06-03 06:00:00+00:00,long,36.194,36.368797,853.7272,PARTIAL_TP,0.000231,3.2693,9993.2646,0.001687
2025-06-03 06:25:00+00:00,long,36.194,36.019203,853.7272,SL,0.000555,-4.9768,9988.2879,0.002184
2025-06-03 08:55:00+00:00,long,36.242,36.422497,1132.6974,PARTIAL_TP,0.0,4.5085,9992.7964,0.001734
2025-06-03 09:35:00+00:00,long,36.242,36.602994,1132.6974,TP,0.0,10.1497,10002.9461,0.00072
2025-06-03 10:10:00+00:00,long,36.974,37.237457,1038.5717,PARTIAL_TP,0.0,6.3617,10009.3078,8.4e-05
2025-06-03 10:25:00+00:00,long,36.974,37.500914,1038.5717,TP,0.000303,13.7621,10023.0699,0.0
2025-06-03 16:25:00+00:00,long,37.947,37.623829,1643.9924,SL,0.002178,-15.6449,10007.425,0.001561
2025-06-04 11:00:00+00:00,long,36.61,36.813225,1015.9397,PARTIAL_TP,0.000821,4.6236,10012.0486,0.0011
2025-06-04 11:10:00+00:00,long,36.61,37.016449,1015.9397,TP,0.0,10.2632,10022.3118,7.6e-05
2025-06-05 13:25:00+00:00,long,35.492,35.272963,1867.648,SL,0.001376,-13.3937,10008.9181,0.001412
2025-06-05 18:10:00+00:00,short,34.181,33.843957,742.1442,PARTIAL_TP,0.000121,6.5758,10015.4939,0.000756
2025-06-05 18:30:00+00:00,short,34.181,34.347293,742.1442,SL,0.000425,-4.3527,10011.1411,0.00119
2025-06-05 21:15:00+00:00,short,32.947,33.455372,1055.2537,SL,0.001753,-17.3378,9993.8033,0.00292
2025-06-06 04:50:00+00:00,long,34.694,34.900349,932.4424,PARTIAL_TP,0.000887,4.6134,9998.4167,0.00246
2025-06-06 05:20:00+00:00,long,34.694,34.632726,932.4424,SL,0.000253,-2.5792,9995.8375,0.002717
2025-06-06 11:40:00+00:00,short,34.394,34.569152,2070.2404,SL,0.001295,-12.613,9983.2245,0.003975
2025-06-06 15:00:00+00:00,long,35.395,35.115217,1782.6476,SL,0.001756,-15.8737,9967.3508,0.005559
2025-06-06 21:35:00+00:00,short,33.71,33.88433,1424.6111,SL,0.000882,-8.7919,9958.5588,0.006436
2025-06-07 00:30:00+00:00,short,33.07,33.233291,1934.1661,SL,0.001022,-11.4846,9947.0743,0.007582
2025-06-07 02:50:00+00:00,short,33.285,33.460696,2242.8672,SL,0.001707,-14.0819,9932.9924,0.008987
2025-06-07 14:20:00+00:00,long,34.558,34.727717,1448.2553,PARTIAL_TP,0.001038,5.6642,9938.6566,0.008422
2025-06-07 15:20:00+00:00,long,34.558,34.897433,1448.2553,TP,0.000396,12.7767,9951.4333,0.007147
2025-06-07 22:25:00+00:00,long,34.761,34.902239,1232.4713,PARTIAL_TP,0.000157,3.7752,9955.2085,0.006771
2025-06-07 22:45:00+00:00,long,34.761,35.043477,1232.4713,TP,4e-06,8.7829,9963.9914,0.005894
2025-06-08 03:20:00+00:00,long,35.012,35.139744,1513.5225,PARTIAL_TP,5.2e-05,4.0087,9968.0001,0.005494
2025-06-08 03:25:00+00:00,long,35.012,35.267487,1513.5225,TP,0.0,9.5309,9977.5309,0.004543
2025-06-08 04:25:00+00:00,long,35.335,35.164815,2957.2276,SL,0.001602,-17.2002,9960.3307,0.006259
2025-06-08 12:55:00+00:00,long,35.477,35.31454,2577.1376,SL,0.001262,-14.3786,9945.9521,0.007694
2025-06-09 03:45:00+00:00,long,35.399,35.553471,1193.6735,PARTIAL_TP,0.000461,4.0152,9949.9673,0.007293
2025-06-09 04:20:00+00:00,long,35.399,35.416886,1193.6735,SL,0.001037,-0.5905,9949.3767,0.007352
2025-06-10 04:55:00+00:00,long,39.42,39.658038,843.2937,PARTIAL_TP,0.000675,4.2489,9953.6257,0.006928
2025-06-10 05:25:00+00:00,long,39.42,39.27231,843.2937,SL,0.000337,-4.0028,9949.6229,0.007328
2025-06-11 06:40:00+00:00,long,42.075,42.301036,855.2774,PARTIAL_TP,0.000674,3.7395,9953.3624,0.006955
2025-06-11 06:40:00+00:00,long,42.075,42.527072,855.2774,TP,0.0,8.3342,9961.6966,0.006123
2025-06-12 03:45:00+00:00,long,41.751,42.045642,694.2854,PARTIAL_TP,0.000234,4.2054,9965.9019,0.005704
2025-06-12 04:10:00+00:00,long,41.751,41.724546,694.2854,SL,0.000179,-1.1342,9964.7677,0.005817
2025-06-12 07:25:00+00:00,long,41.957,41.729569,1821.8853,SL,0.001421,-11.6976,9953.0702,0.006984
2025-06-13 09:55:00+00:00,long,39.893,40.312588,572.6368,PARTIAL_TP,0.000352,5.4503,9958.5204,0.00644
2025-06-13 10:45:00+00:00,long,39.893,39.795772,572.6368,SL,0.000223,-1.9683,9956.5522,0.006636
2025-06-15 00:25:00+00:00,long,40.332,40.164564,1908.933,SL,0.000922,-9.8338,9946.7184,0.007618
2025-06-15 11:15:00+00:00,long,40.436,40.230545,2085.7575,SL,0.001188,-12.6835,9934.0349,0.008883
2025-06-15 12:55:00+00:00,long,40.447,40.247407,2522.5781,SL,0.002379,-14.9707,9919.0642,0.010377
2025-06-15 17:35:00+00:00,long,41.089,41.292409,982.652,PARTIAL_TP,0.0,3.8819,9922.9461,0.009989
2025-06-15 19:30:00+00:00,long,41.089,41.445,982.652,TIME,8e-05,7.5312,9930.4773,0.009238
2025-06-15 23:45:00+00:00,long,41.023,41.341302,913.8664,PARTIAL_TP,0.000462,6.1769,9936.6542,0.008622
2025-06-16 00:10:00+00:00,long,41.023,40.968139,913.8664,SL,0.000157,-2.136,9934.5182,0.008835
2025-06-16 04:20:00+00:00,long,42.494,42.702183,852.7768,PARTIAL_TP,0.0,3.3251,9937.8433,0.008503
2025-06-16 04:40:00+00:00,long,42.494,42.910367,852.7768,TP,0.000198,7.5029,9945.3462,0.007754
2025-06-16 08:15:00+00:00,long,44.59,44.265843,1845.5562,SL,0.001565,-15.2622,9930.084,0.009277
2025-06-16 13:40:00+00:00,long,44.6,44.854937,930.7436,PARTIAL_TP,0.000681,4.3895,9934.4735,0.008839
2025-06-16 14:00:00+00:00,long,44.6,45.109874,930.7436,TP,0.000487,9.7097,9944.1831,0.007871
2025-06-17 12:55:00+00:00,short,40.195,39.924981,741.6692,PARTIAL_TP,0.0,4.2407,9948.4238,0.007447
2025-06-17 13:05:00+00:00,short,40.195,39.654961,741.6692,TP,0.00018,9.223,9957.6468,0.006527
2025-06-18 12:40:00+00:00,short,38.804,38.473637,801.4018,PARTIAL_TP,0.001058,6.0214,9963.6682,0.005926
2025-06-18 13:10:00+00:00,short,38.804,38.143274,801.4018,TP,0.000439,12.8443,9976.5125,0.004645
2025-06-18 18:30:00+00:00,short,38.443,38.839303,1008.9272,SL,0.001947,-11.4098,9965.1027,0.005783
2025-06-18 19:10:00+00:00,short,38.319,38.771128,960.2431,SL,0.001476,-12.2902,9952.8125,0.00701
2025-06-19 03:05:00+00:00,short,38.256,38.542359,1395.6421,SL,0.001224,-11.8425,9940.97,0.008191
